Apple Hospitality REIT Price to Free Cash Flow Ratio Historical Data,Apple Hospitality REIT Price to Free Cash Flow Ratio Historical Data,Apple Hospitality REIT Price to Free Cash Flow Ratio Historical Data,Apple Hospitality REIT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.51,,8.41
2024-12-31,15.35,$1.61,9.56
2024-09-30,14.7,$1.36,10.78
2024-06-30,14.16,$1.57,9.05
2024-03-31,15.78,$1.54,10.26
2023-12-31,15.77,$1.43,11.06
2023-09-30,14.31,$1.41,10.12
2023-06-30,13.87,$1.42,9.75
2023-03-31,14.02,$1.40,10.04
2022-12-31,14.05,$1.39,10.13
2022-09-30,12.21,$1.37,8.94
2022-06-30,12.61,$2.16,5.85
2022-03-31,15.31,$1.95,7.84
2021-12-31,13.72,$1.90,7.22
2021-09-30,13.36,$1.64,8.14
2021-06-30,12.95,$0.36,35.63
2021-03-31,12.36,$-0.02,0.0
2020-12-31,10.94,$0.15,74.89
2020-09-30,8.14,$0.27,30.45
2020-06-30,8.19,$0.75,10.98
2020-03-31,7.77,$1.29,6.02
2019-12-31,13.49,$1.65,8.19
2019-09-30,13.51,$1.90,7.11
2019-06-30,12.68,$1.94,6.54
2019-03-31,12.79,$1.97,6.51
2018-12-31,11.06,$1.51,7.34
2018-09-30,13.31,$1.65,8.07
2018-06-30,13.46,$1.73,7.77
2018-03-31,12.94,$1.78,7.25
2017-12-31,14.21,$1.75,8.14
2017-09-30,13.49,$1.63,8.27
2017-06-30,13.2,$1.42,9.28
2017-03-31,13.26,$1.36,9.77
2016-12-31,13.66,$1.45,9.45
2016-09-30,12.46,$1.25,9.93
2016-06-30,12.46,$1.38,9.04
2016-03-31,12.92,$2.57,5.02
