Oklo Price to Free Cash Flow Ratio Historical Data,Oklo Price to Free Cash Flow Ratio Historical Data,Oklo Price to Free Cash Flow Ratio Historical Data,Oklo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.77,,0.0
2024-09-30,8.09,$-0.83,0.0
2024-06-30,8.47,$-0.85,0.0
2024-03-31,11.42,$-0.82,0.0
2023-12-31,10.56,$-0.78,0.0
2023-09-30,10.35,$-0.17,0.0
2023-06-30,10.43,$-0.15,0.0
2023-03-31,10.15,$-0.11,0.0
2022-12-31,9.92,$-0.07,0.0
2022-09-30,9.76,$0.08,127.25
2022-06-30,9.65,$-0.02,0.0
