PennantPark Investment Price to Free Cash Flow Ratio Historical Data,PennantPark Investment Price to Free Cash Flow Ratio Historical Data,PennantPark Investment Price to Free Cash Flow Ratio Historical Data,PennantPark Investment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.1,,307.36
2024-12-31,7.08,$0.02,306.49
2024-09-30,6.75,$-2.64,0.0
2024-06-30,7.05,$-0.93,0.0
2024-03-31,6.24,$0.18,35.11
2023-12-31,6.07,$1.19,5.12
2023-09-30,5.6,$3.42,1.64
2023-06-30,4.86,$2.99,1.62
2023-03-31,4.21,$-0.68,0.0
2022-12-31,4.42,$2.24,1.98
2022-09-30,4.08,$-0.26,0.0
2022-06-30,4.51,$-2.79,0.0
2022-03-31,5.55,$0.77,7.25
2021-12-31,4.85,$-3.05,0.0
2021-09-30,4.46,$0.12,37.82
2021-06-30,4.51,$1.82,2.47
2021-03-31,3.75,$2.03,1.85
2020-12-31,3.0,$-0.35,0.0
2020-09-30,2.02,$-1.93,0.0
2020-06-30,2.15,$-1.34,0.0
2020-03-31,1.54,$-2.67,0.0
2019-12-31,3.63,$-1.70,0.0
2019-09-30,3.39,$-1.20,0.0
2019-06-30,3.32,$-3.69,0.0
2019-03-31,3.53,$-3.60,0.0
2018-12-31,3.17,$-0.49,0.0
2018-09-30,3.61,$0.95,3.81
2018-06-30,3.31,$2.13,1.56
2018-03-31,3.08,$4.00,0.77
2017-12-31,3.11,$3.38,0.92
2017-09-30,3.29,$0.97,3.38
2017-06-30,3.16,$3.02,1.05
2017-03-31,3.4,$1.80,1.89
2016-12-31,3.13,$0.69,4.54
2016-09-30,2.97,$2.20,1.35
2016-06-30,2.6,$-0.03,0.0
2016-03-31,2.21,$0.25,8.78
2015-12-31,2.15,$0.85,2.53
2015-09-30,2.16,$0.04,53.4
2015-06-30,2.82,$-1.29,0.0
2015-03-31,2.82,$-0.65,0.0
2014-12-31,2.88,$-1.83,0.0
2014-09-30,3.2,$-2.57,0.0
2014-06-30,3.28,$-0.29,0.0
2014-03-31,3.08,$-0.44,0.0
2013-12-31,3.15,$-0.42,0.0
2013-09-30,3.0,$0.61,4.93
2013-06-30,2.86,$-0.69,0.0
2013-03-31,2.86,$-2.30,0.0
2012-12-31,2.72,$-3.41,0.0
2012-09-30,2.55,$-2.18,0.0
2012-06-30,2.43,$-3.80,0.0
2012-03-31,2.38,$-2.78,0.0
2011-12-31,2.25,$-1.82,0.0
2011-09-30,1.93,$-3.27,0.0
2011-06-30,2.36,$-1.87,0.0
2011-03-31,2.45,$-2.73,0.0
2010-12-31,2.46,$-3.30,0.0
2010-09-30,2.09,$-4.30,0.0
2010-06-30,1.83,$-4.76,0.0
2010-03-31,1.94,$-5.56,0.0
2009-12-31,1.63,$-3.76,0.0
