PLAYSTUDIOS Price to Free Cash Flow Ratio Historical Data,PLAYSTUDIOS Price to Free Cash Flow Ratio Historical Data,PLAYSTUDIOS Price to Free Cash Flow Ratio Historical Data,PLAYSTUDIOS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.3,,4.03
2024-12-31,1.86,$0.32,5.77
2024-09-30,1.51,$0.37,4.03
2024-06-30,2.07,$0.31,6.78
2024-03-31,2.78,$0.35,8.0
2023-12-31,2.71,$0.34,7.94
2023-09-30,3.18,$0.24,13.41
2023-06-30,4.91,$0.21,23.34
2023-03-31,3.69,$0.11,33.39
2022-12-31,3.88,$0.17,23.26
2022-09-30,3.49,$0.25,13.79
2022-06-30,4.28,$0.22,19.17
2022-03-31,4.85,$0.33,14.63
