Coherent Price to Free Cash Flow Ratio Historical Data,Coherent Price to Free Cash Flow Ratio Historical Data,Coherent Price to Free Cash Flow Ratio Historical Data,Coherent Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,68.71,,46.98
2024-12-31,94.73,$1.46,64.77
2024-09-30,88.91,$0.80,111.14
2024-06-30,72.46,$1.31,55.24
2024-03-31,60.62,$1.55,39.13
2023-12-31,43.53,$1.79,24.33
2023-09-30,32.64,$2.79,11.68
2023-06-30,50.98,$1.44,35.43
2023-03-31,38.08,$0.95,39.97
2022-12-31,35.1,$0.05,672.41
2022-09-30,34.85,$0.36,96.08
2022-06-30,50.95,$0.85,59.96
2022-03-31,72.49,$1.47,49.36
2021-12-31,68.33,$2.51,27.25
2021-09-30,59.36,$2.81,21.15
2021-06-30,72.59,$3.72,19.51
2021-03-31,68.37,$4.69,14.57
2020-12-31,75.96,$4.56,16.67
2020-09-30,40.56,$3.62,11.19
2020-06-30,47.22,$1.89,24.97
2020-03-31,28.5,$0.67,42.68
2019-12-31,33.67,$0.15,219.63
2019-09-30,35.21,$0.11,329.37
2019-06-30,36.56,$0.63,58.18
2019-03-31,37.24,$0.25,151.38
2018-12-31,32.46,$0.60,53.82
2018-09-30,47.3,$0.24,193.46
2018-06-30,43.45,$0.12,373.6
2018-03-31,40.9,$-0.02,0.0
2017-12-31,46.95,$-0.60,0.0
2017-09-30,41.15,$-0.53,0.0
2017-06-30,34.3,$-0.31,0.0
2017-03-31,36.05,$-0.06,0.0
2016-12-31,29.65,$0.36,83.47
2016-09-30,24.33,$0.66,36.75
2016-06-30,18.76,$1.03,18.21
2016-03-31,21.71,$1.27,17.08
2015-12-31,18.56,$1.63,11.38
2015-09-30,16.08,$1.76,9.12
2015-06-30,18.98,$1.23,15.42
2015-03-31,18.46,$1.02,18.11
2014-12-31,13.65,$0.68,20.14
2014-09-30,11.77,$0.43,27.23
2014-06-30,14.46,$1.04,13.9
2014-03-31,15.43,$1.24,12.39
2013-12-31,17.58,$1.19,14.73
2013-09-30,18.8,$1.30,14.46
2013-06-30,16.26,$1.29,12.61
2013-03-31,17.04,$1.11,15.31
2012-12-31,18.23,$1.14,15.98
2012-09-30,19.02,$0.95,20.08
2012-06-30,16.67,$0.70,23.71
2012-03-31,23.65,$0.42,56.47
2011-12-31,18.36,$0.53,34.35
2011-09-30,17.5,$0.45,39.21
2011-06-30,25.6,$0.51,49.9
2011-03-31,49.75,$0.73,68.62
2010-12-31,46.36,$0.83,55.91
2010-09-30,37.33,$0.82,45.28
2010-06-30,29.63,$0.95,31.11
2010-03-31,33.84,$0.88,38.51
2009-12-31,31.8,$0.97,32.94
