Globus Maritime Price to Free Cash Flow Ratio Historical Data,Globus Maritime Price to Free Cash Flow Ratio Historical Data,Globus Maritime Price to Free Cash Flow Ratio Historical Data,Globus Maritime Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.25,,0.0
2024-12-31,1.17,$-4.39,0.0
2024-09-30,1.92,$-2.87,0.0
2024-06-30,1.88,$-0.83,0.0
2024-03-31,2.2,$-0.03,0.0
2023-12-31,2.65,$0.55,4.8
2023-09-30,1.84,$0.30,6.05
2023-06-30,0.9,$-0.35,0.0
2023-03-31,1.12,$-0.43,0.0
2022-12-31,1.05,$-1.84,0.0
2022-09-30,1.26,$-0.72,0.0
2022-03-31,2.31,$-2.42,0.0
2021-12-31,2.1,$-3.46,0.0
2021-09-30,2.92,$-4.30,0.0
2021-06-30,3.88,$-39.02,0.0
2021-03-31,4.7,$-47.10,0.0
2020-06-30,26.7,$-81.54,0.0
2020-03-31,60.51,$-45.09,0.0
2019-06-30,230.0,$-7.96,0.0
2019-03-31,327.0,$69.31,4.72
2018-06-30,504.7,$50.88,9.92
2018-03-31,741.0,$-279.82,0.0
2017-09-30,920.0,"$-1,210.08",0.0
2017-03-31,4650.0,$740.82,6.28
2016-09-30,2880.0,$769.01,3.75
2016-03-31,880.0,"$1,131.72",0.78
2015-12-31,580.0,"$2,058.85",0.28
2015-09-30,3960.0,$-12.47,0.0
2015-06-30,4560.0,$873.70,5.22
2015-03-31,4840.0,"$2,581.92",1.87
2014-12-31,9600.0,"$3,658.85",2.62
2014-09-30,13505.2,"$4,695.56",2.88
2014-06-30,13960.0,"$4,442.98",3.14
2014-03-31,17400.0,"$4,296.48",4.05
2013-12-31,15840.4,"$4,555.56",3.48
2013-09-30,12000.0,"$5,672.00",2.12
2013-06-30,8000.0,"$5,623.82",1.42
2013-03-31,9960.0,"$5,470.31",1.82
2012-12-31,6748.0,"$5,592.00",1.21
2012-09-30,9000.0,"$-19,164.00",0.0
2012-06-30,12800.0,"$-13,888.18",0.0
2012-03-31,19881.37,"$-15,362.31",0.0
2011-12-31,12573.65,"$-16,820.00",0.0
2011-09-30,19083.56,"$5,836.00",3.27
2011-06-30,29285.92,$9.34,3135.57
2011-03-31,31925.67,0,0.0
2010-12-31,31580.5,0,0.0
2010-09-30,24089.12,0,0.0
