Neumora Therapeutics Price to Free Cash Flow Ratio Historical Data,Neumora Therapeutics Price to Free Cash Flow Ratio Historical Data,Neumora Therapeutics Price to Free Cash Flow Ratio Historical Data,Neumora Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.16,,0.0
2024-12-31,10.6,$-1.15,0.0
2024-09-30,13.21,$-0.95,0.0
2024-06-30,9.83,$-3.14,0.0
