Liberty Global Price to Free Cash Flow Ratio Historical Data,Liberty Global Price to Free Cash Flow Ratio Historical Data,Liberty Global Price to Free Cash Flow Ratio Historical Data,Liberty Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.41,,4.14
2024-12-31,13.14,$3.00,4.38
2024-09-30,11.55,$2.88,4.0
2024-06-30,9.54,$2.62,3.64
2024-03-31,9.43,$2.80,3.36
2023-12-31,9.96,$2.92,3.41
2023-09-30,9.92,$0.91,10.86
2023-06-30,9.5,$3.09,3.07
2023-03-31,10.89,$3.23,3.37
2022-12-31,10.38,$3.92,2.65
2022-09-30,8.82,$4.95,1.78
2022-06-30,11.81,$3.36,3.52
2022-03-31,13.85,$3.68,3.76
2021-12-31,15.01,$3.76,3.99
2021-09-30,15.74,$4.36,3.61
2021-06-30,14.45,$5.20,2.78
2021-03-31,13.65,$5.26,2.6
2020-12-31,12.64,$4.81,2.63
2020-09-30,10.97,$4.79,2.29
2020-06-30,11.5,$3.90,2.95
2020-03-31,8.4,$4.42,1.9
2019-12-31,11.65,$4.84,2.41
2019-09-30,12.71,$4.99,2.55
2019-06-30,14.18,$5.15,2.75
2019-03-31,12.94,$5.39,2.4
2018-12-31,11.03,$5.79,1.9
2018-09-30,15.05,$5.28,2.85
2018-06-30,14.22,$5.89,2.41
2018-03-31,16.26,$5.70,2.85
2017-12-31,18.09,$5.26,3.44
2017-09-30,17.48,$6.80,2.57
2017-06-30,16.66,$5.91,2.82
2017-03-31,18.73,$4.92,3.81
2016-12-31,15.87,$4.89,3.25
2016-09-30,17.66,$3.25,5.43
2016-06-30,15.31,$3.72,4.12
2016-03-31,20.07,$3.51,5.71
2015-12-31,21.79,$3.81,5.72
2015-09-30,21.92,$3.59,6.11
2015-06-30,27.06,$3.29,8.22
2015-03-31,26.62,$3.73,7.14
2014-12-31,25.82,$3.65,7.07
2014-09-30,21.92,$3.86,5.68
2014-06-30,22.61,$3.46,6.54
2014-03-31,21.76,$2.77,7.84
2013-12-31,22.53,$2.16,10.45
2013-09-30,20.16,$1.17,17.16
2013-06-30,18.14,$0.87,20.85
2013-03-31,18.34,$1.04,17.67
2012-12-31,15.7,$1.97,7.98
2012-09-30,15.1,$3.16,4.77
2012-06-30,12.76,$3.22,3.96
2012-03-31,12.8,$3.29,3.9
2011-12-31,10.56,$3.09,3.42
2011-09-30,9.25,$3.09,2.99
2011-06-30,11.41,$2.84,4.02
2011-03-31,10.69,$1.88,5.69
2010-12-31,9.06,$2.53,3.58
2010-09-30,8.17,$3.79,2.16
2010-06-30,6.95,$5.19,1.34
2010-03-31,7.72,$7.14,1.08
2009-12-31,5.84,$6.70,0.87
