Abacus Life Price to Free Cash Flow Ratio Historical Data,Abacus Life Price to Free Cash Flow Ratio Historical Data,Abacus Life Price to Free Cash Flow Ratio Historical Data,Abacus Life Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.42,,0.0
2024-09-30,10.12,$-1.90,0.0
2024-06-30,8.65,$-1.33,0.0
2024-03-31,12.18,$-0.74,0.0
2023-12-31,9.66,$-1.12,0.0
2023-09-30,6.83,$-0.46,0.0
2023-06-30,10.03,$-0.45,0.0
2023-03-31,10.25,$-0.10,0.0
2022-12-31,10.16,$0.21,47.86
2022-09-30,10.05,$-0.17,0.0
2022-06-30,9.98,$-0.18,0.0
2022-03-31,9.91,$-0.14,0.0
2021-12-31,9.87,$-0.14,0.0
2021-09-30,9.84,$-0.05,0.0
2021-06-30,9.76,$-0.06,0.0
