Lendway Price to Free Cash Flow Ratio Historical Data,Lendway Price to Free Cash Flow Ratio Historical Data,Lendway Price to Free Cash Flow Ratio Historical Data,Lendway Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.81,,0.0
2024-09-30,3.56,$-1.24,0.0
2024-06-30,4.75,$4.48,1.06
2024-03-31,5.96,$3.12,1.91
2023-12-31,4.61,$0.26,17.51
2023-09-30,5.35,$-0.18,0.0
2023-06-30,7.72,$5.11,1.51
2023-03-31,7.31,$5.71,1.28
2022-12-31,7.81,$5.95,1.31
2022-09-30,6.12,$5.95,1.03
2022-06-30,7.65,$-1.93,0.0
2022-03-31,11.32,$-3.47,0.0
2021-12-31,23.08,$-1.76,0.0
2021-09-30,7.49,$-1.89,0.0
2021-06-30,8.29,$-1.27,0.0
2021-03-31,5.87,$-1.26,0.0
2020-12-31,5.88,$-0.95,0.0
2020-09-30,4.66,$-1.14,0.0
2020-06-30,5.0,$-1.36,0.0
2020-03-31,5.18,$-0.68,0.0
2019-12-31,5.11,$-1.59,0.0
2019-09-30,6.86,$0.10,71.76
2019-06-30,7.98,$0.77,10.33
2019-03-31,9.31,$1.14,8.19
2018-12-31,10.43,$3.39,3.08
2018-09-30,12.11,$2.65,4.56
2018-06-30,11.41,$2.93,3.89
2018-03-31,11.06,$1.67,6.64
2017-12-31,8.33,$0.37,22.46
2017-09-30,7.56,$-1.94,0.0
2017-06-30,7.16,$-3.29,0.0
2017-03-31,10.43,$-2.72,0.0
2016-12-31,12.24,$-3.28,0.0
2016-09-30,11.94,$-2.22,0.0
2016-06-30,10.94,$0.18,61.85
2016-03-31,14.3,$0.62,23.11
2015-12-31,14.4,$1.61,8.96
2015-09-30,12.69,$2.08,6.11
2015-06-30,13.69,$0.57,23.82
2015-03-31,15.05,$0.22,66.91
2014-12-31,17.96,$-1.12,0.0
2014-09-30,15.4,$-0.60,0.0
2014-06-30,16.35,$-0.15,0.0
2014-03-31,15.15,$1.66,9.13
2013-12-31,13.69,$1.94,7.04
2013-09-30,13.4,$1.67,8.01
2013-06-30,10.99,$1.66,6.61
2013-03-31,10.23,$-0.46,0.0
2012-12-31,8.58,$-1.47,0.0
2012-09-30,8.63,$-5.32,0.0
2012-06-30,9.38,$-7.58,0.0
2012-03-31,9.08,$-11.28,0.0
2011-12-31,10.08,$25.59,0.39
2011-09-30,11.84,$29.74,0.4
2011-06-30,18.76,$32.28,0.58
2011-03-31,25.88,$36.72,0.7
2010-12-31,18.57,$0.19,99.37
2010-09-30,19.61,$0.68,28.95
2010-06-30,14.83,$1.32,11.22
2010-03-31,18.56,$0.66,28.09
2009-12-31,13.52,$0.97,14.01
