Manulife Financial Corp Price to Free Cash Flow Ratio Historical Data,Manulife Financial Corp Price to Free Cash Flow Ratio Historical Data,Manulife Financial Corp Price to Free Cash Flow Ratio Historical Data,Manulife Financial Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,30.54,,2.82
2024-12-31,30.71,$10.83,2.84
2024-09-30,29.19,$10.40,2.81
2024-06-30,26.0,$9.52,2.73
2024-03-31,24.14,$8.93,2.7
2023-12-31,21.09,$8.23,2.56
2023-09-30,17.2,$7.81,2.2
2023-06-30,17.53,$7.67,2.28
2023-03-31,16.78,$7.28,2.31
2022-12-31,16.08,$7.13,2.26
2022-09-30,13.93,$7.92,1.76
2022-06-30,15.19,$8.47,1.79
2022-03-31,18.44,$8.94,2.06
2021-12-31,16.27,$9.49,1.71
2021-09-30,16.18,$9.05,1.79
2021-06-30,16.38,$8.41,1.95
2021-03-31,17.69,$7.46,2.37
2020-12-31,14.49,$7.70,1.88
2020-09-30,11.17,$7.48,1.49
2020-06-30,10.78,$7.65,1.41
2020-03-31,9.76,$8.22,1.19
2019-12-31,15.62,$7.89,1.98
2019-09-30,14.0,$7.64,1.83
2019-06-30,13.7,$7.69,1.78
2019-03-31,12.61,$7.41,1.7
2018-12-31,10.47,$7.45,1.41
2018-09-30,13.04,$7.39,1.76
2018-06-30,12.98,$7.19,1.81
2018-03-31,13.31,$7.23,1.84
2017-12-31,14.81,$6.91,2.14
2017-09-30,14.29,$6.85,2.09
2017-06-30,13.11,$6.92,1.89
2017-03-31,12.29,$6.73,1.83
2016-12-31,12.24,$6.51,1.88
2016-09-30,9.62,$6.53,1.47
2016-06-30,9.22,$8.92,1.03
2016-03-31,9.43,$5.10,1.85
2015-12-31,9.89,$4.10,2.41
2015-09-30,10.14,$-19.21,0.0
2015-06-30,12.09,$0.26,47.28
2015-03-31,10.98,$2.53,4.35
2014-12-31,12.23,$3.29,3.72
2014-09-30,12.25,$25.58,0.48
2014-06-30,12.55,$2.76,4.54
2014-03-31,12.12,$6.23,1.94
2013-12-31,12.31,$4.94,2.49
2013-09-30,10.27,$10.81,0.95
2013-06-30,9.86,$5.58,1.77
2013-03-31,8.98,$4.14,2.17
2012-12-31,8.22,$6.04,1.36
2012-09-30,7.21,$1.10,6.58
2012-06-30,6.44,$5.93,1.09
2012-03-31,7.94,$6.64,1.2
2011-12-31,6.16,$5.26,1.17
2011-09-30,6.5,$4.85,1.34
2011-06-30,10.02,$9.13,1.1
2011-03-31,9.97,$4.97,2.01
2010-12-31,9.61,$6.33,1.52
2010-09-30,7.01,$6.21,1.13
2010-06-30,8.0,$15.15,0.53
2010-03-31,10.73,$6.40,1.68
2009-12-31,9.93,$6.36,1.56
