VICI Properties Price to Free Cash Flow Ratio Historical Data,VICI Properties Price to Free Cash Flow Ratio Historical Data,VICI Properties Price to Free Cash Flow Ratio Historical Data,VICI Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,32.01,,14.12
2024-12-31,29.21,$2.27,12.89
2024-09-30,33.31,$2.21,15.04
2024-06-30,28.27,$2.21,12.81
2024-03-31,28.98,$2.15,13.48
2023-12-31,30.57,$2.15,14.22
2023-09-30,27.54,$2.29,12.05
2023-06-30,29.35,$2.20,13.36
2023-03-31,30.08,$2.29,13.12
2022-12-31,29.5,$2.21,13.36
2022-09-30,26.86,$2.01,13.37
2022-06-30,26.48,$1.89,13.98
2022-03-31,24.99,$1.72,14.52
2021-12-31,26.09,$1.57,16.6
2021-09-30,24.31,$1.83,13.25
2021-06-30,26.23,$1.91,13.71
2021-03-31,23.63,$1.81,13.03
2020-12-31,21.08,$1.82,11.57
2020-09-30,19.08,$1.67,11.4
2020-06-30,16.25,$1.56,10.42
2020-03-31,13.2,$1.56,8.47
2019-12-31,19.9,$1.55,12.84
2019-09-30,17.43,$1.42,12.28
2019-06-30,16.74,$1.34,12.48
2019-03-31,16.4,$1.30,12.63
2018-12-31,13.89,$1.37,10.14
