Aspen Aerogels Price to Free Cash Flow Ratio Historical Data,Aspen Aerogels Price to Free Cash Flow Ratio Historical Data,Aspen Aerogels Price to Free Cash Flow Ratio Historical Data,Aspen Aerogels Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.93,,0.0
2024-12-31,11.88,$-0.51,0.0
2024-09-30,27.69,$-1.24,0.0
2024-06-30,23.85,$-1.79,0.0
2024-03-31,17.6,$-2.65,0.0
2023-12-31,15.78,$-3.14,0.0
2023-09-30,8.6,$-4.83,0.0
2023-06-30,7.89,$-6.63,0.0
2023-03-31,7.45,$-6.86,0.0
2022-12-31,11.79,$-6.92,0.0
2022-09-30,9.22,$-5.47,0.0
2022-06-30,9.88,$-3.33,0.0
2022-03-31,34.48,$-2.08,0.0
2021-12-31,49.79,$-1.06,0.0
2021-09-30,46.01,$-0.62,0.0
2021-06-30,29.92,$-0.46,0.0
2021-03-31,20.34,$-0.53,0.0
2020-12-31,16.69,$-0.51,0.0
2020-09-30,10.95,$-0.10,0.0
2020-06-30,6.58,$-0.19,0.0
2020-03-31,6.14,$-0.07,0.0
2019-12-31,7.76,$-0.13,0.0
2019-09-30,5.92,$-0.34,0.0
2019-06-30,7.13,$-0.32,0.0
2019-03-31,2.55,$-0.54,0.0
2018-12-31,2.13,$-0.52,0.0
2018-09-30,4.57,$-0.49,0.0
2018-06-30,4.9,$-0.33,0.0
2018-03-31,4.27,$-0.31,0.0
2017-12-31,4.88,$-0.46,0.0
2017-09-30,4.35,$-0.55,0.0
2017-06-30,4.45,$-0.50,0.0
2017-03-31,4.15,$-0.73,0.0
2016-12-31,4.13,$-0.60,0.0
2016-09-30,5.96,$-0.37,0.0
2016-06-30,4.97,$-0.52,0.0
2016-03-31,4.5,$-0.25,0.0
2015-12-31,6.07,$-0.72,0.0
2015-09-30,7.5,$-1.26,0.0
2015-06-30,6.62,$-0.64,0.0
2015-03-31,7.28,$-1.15,0.0
