American Noble Gas Price to Free Cash Flow Ratio Historical Data,American Noble Gas Price to Free Cash Flow Ratio Historical Data,American Noble Gas Price to Free Cash Flow Ratio Historical Data,American Noble Gas Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.06,,18.54
2024-12-31,21.92,$0.97,22.5
2024-09-30,22.02,$0.83,26.51
2024-06-30,18.41,$0.79,23.3
2024-03-31,17.38,$0.70,24.99
2023-12-31,17.82,$0.66,26.91
2023-09-30,16.37,$0.64,25.62
2023-06-30,15.38,$0.62,24.9
2023-03-31,16.47,$0.61,27.21
2022-12-31,17.01,$0.61,27.79
2022-09-30,15.85,$0.65,24.49
2022-06-30,17.29,$0.68,25.52
2022-03-31,23.0,$0.72,31.76
2021-12-31,23.39,$0.73,31.86
2021-09-30,20.38,$0.74,27.44
2021-06-30,19.41,$0.73,26.56
2021-03-31,16.97,$0.70,24.27
2020-12-31,15.37,$0.65,23.68
2020-09-30,12.39,$0.63,19.79
2020-06-30,8.67,$0.56,15.42
2020-03-31,7.26,$0.50,14.44
2019-12-31,9.13,$0.47,19.3
2019-09-30,9.94,$0.44,22.73
2019-06-30,9.35,$0.43,22.0
2019-03-31,9.42,$0.44,21.43
2018-12-31,8.16,$0.43,19.08
2018-09-30,8.63,$0.44,19.78
2018-06-30,8.24,$0.44,18.9
2018-03-31,7.38,$0.43,17.13
2017-12-31,6.71,$0.43,15.48
2017-09-30,5.96,$0.40,14.82
2017-06-30,6.13,$0.42,14.59
2017-03-31,6.35,$0.37,17.21
2016-12-31,5.96,$0.37,16.15
2016-09-30,6.28,$0.35,17.9
2016-06-30,7.1,$0.34,21.18
2016-03-31,7.49,$0.32,23.62
2015-12-31,6.59,$0.19,34.56
2015-09-30,7.45,$0.22,33.48
2015-06-30,6.19,$0.27,22.82
2015-03-31,6.75,$0.30,22.19
2014-12-31,6.05,$0.43,13.94
2014-09-30,5.77,$0.39,14.81
2014-06-30,5.13,$0.35,14.56
2014-03-31,5.1,$0.34,15.03
2013-12-31,5.33,$0.30,17.51
2013-09-30,4.5,$0.32,14.15
2013-06-30,3.86,$0.30,12.76
2013-03-31,4.99,$0.30,16.82
2012-12-31,3.91,$0.29,13.29
2012-09-30,4.46,$0.30,15.01
2012-06-30,4.14,$0.30,13.87
2012-03-31,5.17,$0.30,17.12
2011-12-31,4.66,$0.28,16.79
2011-09-30,4.6,$0.25,18.34
2011-06-30,5.88,$0.23,25.69
2011-03-31,6.42,$0.22,28.95
2010-12-31,6.81,$0.24,27.88
2010-09-30,5.94,$0.25,23.97
2010-06-30,5.29,$0.27,19.41
2010-03-31,5.16,$0.29,17.94
2009-12-31,4.85,$0.47,10.29
