Greenwave Technology Solutions Price to Free Cash Flow Ratio Historical Data,Greenwave Technology Solutions Price to Free Cash Flow Ratio Historical Data,Greenwave Technology Solutions Price to Free Cash Flow Ratio Historical Data,Greenwave Technology Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.28,,0.06
2024-09-30,0.43,$4.82,0.09
2024-06-30,1.77,$-47.30,0.0
2024-03-31,0.12,$-53.63,0.0
2023-12-31,0.57,$-41.07,0.0
