Heron Therapeutics Price to Free Cash Flow Ratio Historical Data,Heron Therapeutics Price to Free Cash Flow Ratio Historical Data,Heron Therapeutics Price to Free Cash Flow Ratio Historical Data,Heron Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.4,,0.0
2024-12-31,1.53,$-0.16,0.0
2024-09-30,1.99,$-0.08,0.0
2024-06-30,3.5,$-0.09,0.0
2024-03-31,2.77,$-0.29,0.0
2023-12-31,1.7,$-0.44,0.0
2023-09-30,1.03,$-0.81,0.0
2023-06-30,1.16,$-1.08,0.0
2023-03-31,1.51,$-1.13,0.0
2022-12-31,2.5,$-1.36,0.0
2022-09-30,4.22,$-1.51,0.0
2022-06-30,2.79,$-1.74,0.0
2022-03-31,5.72,$-2.07,0.0
2021-12-31,9.13,$-2.10,0.0
2021-09-30,10.69,$-2.18,0.0
2021-06-30,15.52,$-2.15,0.0
2021-03-31,16.21,$-2.18,0.0
2020-12-31,21.17,$-2.11,0.0
2020-09-30,14.82,$-1.85,0.0
2020-06-30,14.71,$-1.68,0.0
2020-03-31,11.74,$-1.36,0.0
2019-12-31,23.5,$-1.61,0.0
2019-09-30,18.5,$-1.90,0.0
2019-06-30,18.59,$-1.97,0.0
2019-03-31,24.44,$-2.43,0.0
2018-12-31,25.94,$-2.75,0.0
2018-09-30,31.65,$-3.01,0.0
2018-06-30,38.85,$-3.37,0.0
2018-03-31,27.6,$-3.15,0.0
2017-12-31,18.1,$-3.20,0.0
2017-09-30,16.15,$-3.41,0.0
2017-06-30,13.85,$-3.52,0.0
2017-03-31,15.0,$-3.72,0.0
2016-12-31,13.1,$-3.62,0.0
2016-09-30,17.23,$-3.34,0.0
2016-06-30,18.05,$-2.90,0.0
2016-03-31,18.99,$-2.63,0.0
2015-12-31,26.7,$-2.40,0.0
2015-09-30,24.4,$-2.24,0.0
2015-06-30,31.16,$-2.30,0.0
2015-03-31,14.55,$-2.34,0.0
2014-12-31,10.06,$-2.32,0.0
2014-09-30,8.33,$-2.15,0.0
2014-06-30,12.32,$-2.54,0.0
2014-03-31,13.91,$-2.74,0.0
2013-12-31,8.9,$-2.63,0.0
2013-09-30,6.7,$-2.76,0.0
2013-06-30,7.18,$-1.88,0.0
2013-03-31,7.4,$-1.57,0.0
2012-12-31,10.9,$-1.47,0.0
2012-09-30,12.44,$-1.66,0.0
2012-06-30,13.7,$-0.93,0.0
2012-03-31,7.4,$-1.31,0.0
2011-12-31,4.6,$-1.37,0.0
2011-09-30,5.2,$-1.04,0.0
2011-06-30,4.8,$-3.13,0.0
2011-03-31,4.6,$-3.28,0.0
2010-12-31,9.02,$-2.80,0.0
2010-09-30,12.0,$-3.29,0.0
2010-06-30,12.2,$-3.33,0.0
2010-03-31,20.4,$-4.79,0.0
2009-12-31,25.2,$-6.74,0.0
