Estrella Immunopharma Price to Free Cash Flow Ratio Historical Data,Estrella Immunopharma Price to Free Cash Flow Ratio Historical Data,Estrella Immunopharma Price to Free Cash Flow Ratio Historical Data,Estrella Immunopharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.92,,0.0
2024-09-30,1.16,$-0.39,0.0
2024-06-30,1.05,$-0.59,0.0
2024-03-31,1.24,$3.05,0.41
2023-12-31,1.11,$-0.67,0.0
2023-09-30,9.34,$12.49,0.75
2023-06-30,10.84,$-0.34,0.0
2023-03-31,10.58,$-4.00,0.0
2022-12-31,10.29,$-0.28,0.0
2022-09-30,10.06,$-13.35,0.0
2022-06-30,10.0,$-0.28,0.0
