Darden Restaurants Price to Free Cash Flow Ratio Historical Data,Darden Restaurants Price to Free Cash Flow Ratio Historical Data,Darden Restaurants Price to Free Cash Flow Ratio Historical Data,Darden Restaurants Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,199.01,,22.86
2024-11-30,176.27,$8.71,20.25
2024-08-31,156.74,$8.33,18.81
2024-05-31,147.56,$8.25,17.88
2024-02-29,166.12,$8.01,20.75
2023-11-30,151.04,$7.44,20.31
2023-08-31,148.69,$6.45,23.07
2023-05-31,150.36,$8.01,18.78
2023-02-28,134.54,$7.79,17.27
2022-11-30,137.19,$7.38,18.58
2022-08-31,114.39,$8.53,13.4
2022-05-31,114.4,$6.76,16.92
2022-02-28,131.76,$7.71,17.08
2021-11-30,124.22,$6.94,17.91
2021-08-31,134.71,$6.52,20.65
2021-05-31,127.1,$7.05,18.04
2021-02-28,121.14,$1.86,65.29
2020-11-30,94.96,$2.95,32.17
2020-08-31,76.0,$2.12,35.9
2020-05-31,67.4,$1.95,34.65
2020-02-29,85.5,$6.21,13.76
2019-11-30,103.07,$6.31,16.33
2019-08-31,104.46,$6.72,15.55
2019-05-31,99.72,$6.40,15.57
2019-02-28,95.5,$5.81,16.45
2018-11-30,93.49,$5.44,17.2
2018-08-31,97.47,$4.91,19.84
2018-05-31,72.93,$4.80,15.21
2018-02-28,76.36,$4.56,16.73
2017-11-30,69.39,$4.46,15.55
2017-08-31,67.04,$4.59,14.62
2017-05-31,72.11,$4.81,14.99
2017-02-28,60.16,$5.04,11.95
2016-11-30,58.59,$5.21,11.24
2016-08-31,48.82,$6.21,7.86
2016-05-31,53.24,$6.91,7.7
2016-02-29,49.76,$7.75,6.42
2015-11-30,43.41,$7.45,5.82
2015-08-31,46.55,$6.46,7.2
2015-05-31,44.51,$4.85,9.17
2015-02-28,43.11,$2.57,16.75
2014-11-30,38.04,$1.53,24.9
2014-08-31,31.24,$1.03,30.46
2014-05-31,32.7,$1.09,30.04
2014-02-28,32.94,$0.61,53.67
2013-11-30,34.05,$1.19,28.65
2013-08-31,29.15,$-0.13,0.0
2013-05-31,32.34,$0.64,50.54
2013-02-28,28.6,$1.21,23.54
2012-11-30,32.33,$1.71,18.96
2012-08-31,31.47,$1.37,22.89
2012-05-31,31.03,$0.45,69.23
2012-02-29,30.33,$1.07,28.28
2011-11-30,28.11,$0.53,53.12
2011-08-31,28.06,$1.64,17.09
2011-05-31,29.31,$2.52,11.62
2011-02-28,27.09,$2.30,11.8
2010-11-30,27.95,$2.73,10.24
2010-08-31,23.38,$3.53,6.63
2010-05-31,24.11,$3.40,7.1
2010-02-28,22.67,$3.99,5.68
2009-11-30,17.44,$2.54,6.87
