Phibro Animal Health Price to Free Cash Flow Ratio Historical Data,Phibro Animal Health Price to Free Cash Flow Ratio Historical Data,Phibro Animal Health Price to Free Cash Flow Ratio Historical Data,Phibro Animal Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.81,,57.68
2024-12-31,21.0,$0.38,55.54
2024-09-30,22.41,$1.00,22.33
2024-06-30,16.58,$1.14,14.5
2024-03-31,12.7,$1.00,12.75
2023-12-31,11.27,$0.91,12.33
2023-09-30,12.28,$0.10,120.83
2023-06-30,13.05,$-0.95,0.0
2023-03-31,14.47,$-1.44,0.0
2022-12-31,12.57,$-1.49,0.0
2022-09-30,12.33,$-0.88,0.0
2022-06-30,17.61,$-0.13,0.0
2022-03-31,18.25,$0.02,825.86
2021-12-31,18.57,$0.34,54.06
2021-09-30,19.49,$0.52,37.44
2021-06-30,26.0,$0.47,55.47
2021-03-31,21.87,$0.42,52.7
2020-12-31,17.31,$0.66,26.2
2020-09-30,15.42,$0.76,20.26
2020-06-30,23.14,$0.62,37.05
2020-03-31,21.19,$0.90,23.67
2019-12-31,21.67,$0.62,34.89
2019-09-30,18.53,$0.27,69.54
2019-06-30,27.43,$0.43,64.33
2019-03-31,28.38,$0.42,67.2
2018-12-31,27.54,$0.69,40.15
2018-09-30,36.61,$1.16,31.52
2018-06-30,39.21,$1.27,30.77
2018-03-31,33.73,$1.36,24.75
2017-12-31,28.39,$1.71,16.64
2017-09-30,31.31,$1.54,20.31
2017-06-30,31.22,$1.94,16.13
2017-03-31,23.61,$2.21,10.7
2016-12-31,24.53,$1.25,19.59
2016-09-30,22.68,$0.67,33.68
2016-06-30,15.51,$0.02,714.66
2016-03-31,22.36,$-0.07,0.0
2015-12-31,24.82,$0.47,53.11
2015-09-30,25.98,$0.62,41.79
2015-06-30,31.89,$1.22,26.1
2015-03-31,28.92,$0.21,139.97
