Monday Price to Free Cash Flow Ratio Historical Data,Monday Price to Free Cash Flow Ratio Historical Data,Monday Price to Free Cash Flow Ratio Historical Data,Monday Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,264.56,,45.4
2024-09-30,277.77,$5.83,47.67
2024-06-30,240.76,$5.23,46.04
2024-03-31,225.87,$5.21,43.33
2023-12-31,187.81,$4.29,43.78
2023-09-30,159.22,$3.61,44.13
2023-06-30,171.22,$2.77,61.79
2023-03-31,142.75,$1.40,101.96
2022-12-31,122.0,$0.24,501.85
2022-09-30,113.34,$-0.13,0.0
2022-06-30,103.16,$-0.25,0.0
2022-03-31,158.07,$-0.18,0.0
