Singular Genomics Systems Price to Free Cash Flow Ratio Historical Data,Singular Genomics Systems Price to Free Cash Flow Ratio Historical Data,Singular Genomics Systems Price to Free Cash Flow Ratio Historical Data,Singular Genomics Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-20,19.55,,0.0
2024-09-30,15.67,$-32.51,0.0
2024-06-30,8.45,$-31.73,0.0
2024-03-31,0.51,$-32.86,0.0
2023-12-31,0.46,$-30.78,0.0
2023-09-30,0.38,$-32.09,0.0
2023-06-30,0.83,$-34.63,0.0
2023-03-31,1.21,$-38.07,0.0
2022-12-31,2.01,$-39.30,0.0
2022-09-30,2.5,$-41.06,0.0
2022-06-30,3.82,$-40.32,0.0
2022-03-31,6.31,$-44.91,0.0
