Spectral AI Price to Free Cash Flow Ratio Historical Data,Spectral AI Price to Free Cash Flow Ratio Historical Data,Spectral AI Price to Free Cash Flow Ratio Historical Data,Spectral AI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.66,,0.0
2024-09-30,1.06,$-0.70,0.0
2024-06-30,1.76,$-0.98,0.0
2024-03-31,2.13,$-0.82,0.0
2023-12-31,2.46,$-0.94,0.0
2023-09-30,2.57,$-0.81,0.0
2023-06-30,10.6,$-0.42,0.0
2023-03-31,9.96,$-0.33,0.0
2022-12-31,10.1,$-0.09,0.0
2022-09-30,9.85,$-0.08,0.0
2022-06-30,9.81,$-0.10,0.0
2022-03-31,9.77,$-0.18,0.0
