Superior Group Of Price to Free Cash Flow Ratio Historical Data,Superior Group Of Price to Free Cash Flow Ratio Historical Data,Superior Group Of Price to Free Cash Flow Ratio Historical Data,Superior Group Of Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.83,,6.16
2024-12-31,16.53,$1.76,9.41
2024-09-30,15.36,$2.46,6.26
2024-06-30,18.55,$3.30,5.63
2024-03-31,16.09,$3.69,4.36
2023-12-31,13.02,$4.58,2.84
2023-09-30,7.41,$3.86,1.92
2023-06-30,8.75,$2.51,3.49
2023-03-31,7.26,$1.66,4.37
2022-12-31,9.16,$-0.56,0.0
2022-09-30,7.97,$-1.26,0.0
2022-06-30,15.79,$-0.08,0.0
2022-03-31,15.75,$-0.27,0.0
2021-12-31,19.24,$-0.04,0.0
2021-09-30,20.33,$-0.41,0.0
2021-06-30,20.76,$-0.95,0.0
2021-03-31,21.97,$0.53,41.34
2020-12-31,20.01,$2.24,8.92
2020-09-30,19.92,$3.21,6.21
2020-06-30,11.39,$2.86,3.98
2020-03-31,7.19,$1.56,4.6
2019-12-31,11.4,$0.68,16.84
2019-09-30,13.48,$0.85,15.95
2019-06-30,14.23,$1.26,11.32
2019-03-31,13.72,$1.34,10.23
2018-12-31,14.49,$0.97,14.95
2018-09-30,15.53,$0.72,21.47
2018-06-30,16.82,$0.62,27.25
2018-03-31,21.25,$0.71,30.01
2017-12-31,21.52,$1.41,15.25
2017-09-30,18.38,$1.47,12.48
2017-06-30,17.86,$0.76,23.38
2017-03-31,14.79,$1.28,11.6
2016-12-31,15.53,$0.31,50.23
2016-09-30,15.59,$0.03,535.68
2016-06-30,14.96,$0.06,251.04
2016-03-31,13.9,$-0.10,0.0
2015-12-31,13.18,$0.13,102.9
2015-09-30,13.85,$0.28,50.28
2015-06-30,12.72,$1.14,11.2
2015-03-31,14.53,$0.61,23.67
2014-12-31,11.2,$0.16,68.7
2014-09-30,8.2,$-0.13,0.0
2014-06-30,6.1,$-0.38,0.0
2014-03-31,5.48,$-0.04,0.0
2013-12-31,5.73,$0.53,10.71
2013-09-30,4.57,$0.93,4.9
2013-06-30,3.96,$0.65,6.1
2013-03-31,4.39,$0.58,7.58
2012-12-31,4.2,$0.61,6.86
2012-09-30,4.15,$0.45,9.31
2012-06-30,4.0,$0.28,14.32
2012-03-31,3.97,$0.25,15.93
2011-12-31,4.11,$-0.14,0.0
2011-09-30,3.68,$-0.31,0.0
2011-06-30,3.83,$-0.01,0.0
2011-03-31,3.67,$0.28,13.26
2010-12-31,3.51,$0.48,7.3
2010-09-30,2.9,$0.67,4.33
2010-06-30,3.05,$0.66,4.64
2010-03-31,3.02,$0.74,4.11
2009-12-31,2.95,$1.38,2.13
