MetroCity Bankshares Price to Free Cash Flow Ratio Historical Data,MetroCity Bankshares Price to Free Cash Flow Ratio Historical Data,MetroCity Bankshares Price to Free Cash Flow Ratio Historical Data,MetroCity Bankshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.49,,11.08
2024-12-31,31.95,$2.48,12.88
2024-09-30,30.39,$1.34,22.65
2024-06-30,26.04,$2.43,10.72
2024-03-31,24.4,$3.48,7.02
2023-12-31,23.3,$3.19,7.32
2023-09-30,18.92,$3.16,5.99
2023-06-30,17.06,$2.41,7.07
2023-03-31,16.1,$2.60,6.19
2022-12-31,20.2,$5.15,3.92
2022-09-30,18.21,$5.97,3.05
2022-06-30,18.7,$6.27,2.98
2022-03-31,21.46,$5.26,4.08
2021-12-31,25.01,$2.56,9.77
2021-09-30,18.94,$2.48,7.63
2021-06-30,15.72,$2.98,5.28
2021-03-31,13.72,$2.29,5.99
2020-12-31,12.78,$5.56,2.3
2020-09-30,11.6,$6.46,1.79
