ATA Price to Free Cash Flow Ratio Historical Data,ATA Price to Free Cash Flow Ratio Historical Data,ATA Price to Free Cash Flow Ratio Historical Data,ATA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.92,,31.36
2024-09-30,0.77,$0.03,26.29
2024-06-30,0.82,$0.03,27.91
2024-03-31,1.06,$0.03,36.18
2023-12-31,1.16,$0.03,39.58
2023-09-30,1.12,$-0.08,0.0
2023-06-30,1.43,$-0.08,0.0
2023-03-31,1.93,$-0.08,0.0
2022-12-31,1.27,$-0.08,0.0
2022-09-30,1.71,$-0.18,0.0
2022-06-30,1.06,$-0.18,0.0
2022-03-31,1.48,$-0.18,0.0
2021-12-31,1.07,$-0.18,0.0
2021-09-30,2.34,$-0.16,0.0
2021-06-30,3.08,$-0.16,0.0
2021-03-31,4.37,$-0.16,0.0
2020-12-31,1.19,$-0.16,0.0
2020-09-30,1.11,$-0.33,0.0
2020-06-30,1.26,$-0.33,0.0
2020-03-31,0.95,$-0.33,0.0
2019-12-31,1.36,$-0.33,0.0
2019-09-30,1.63,0,0.0
2019-06-30,2.7,0,0.0
2019-03-31,0.99,0,0.0
2018-09-30,1.05,0,0.0
2017-12-31,2.4,0,0.0
2017-09-30,2.52,0,0.0
2017-06-30,2.36,$-0.42,0.0
2016-12-31,1.75,0,0.0
2016-09-30,1.92,$0.43,4.51
2016-06-30,2.18,$0.43,5.12
2016-03-31,2.44,$0.64,3.83
2015-12-31,3.02,$0.43,7.1
2015-09-30,1.19,$0.23,5.23
2015-06-30,2.73,$0.23,12.02
2015-03-31,1.93,$0.19,10.4
2014-12-31,2.05,$0.23,9.05
2014-09-30,2.11,$0.23,9.28
2014-06-30,2.19,$0.23,9.63
2014-03-31,1.87,$0.08,22.22
2013-12-31,1.89,$0.23,8.31
2013-09-30,2.27,$0.43,5.22
2013-06-30,2.0,$0.43,4.61
2013-03-31,1.88,$0.50,3.79
2012-12-31,3.28,$0.43,7.55
2012-09-30,2.57,$0.37,6.95
2012-06-30,1.93,$0.37,5.23
2012-03-31,3.16,$0.28,11.26
2011-12-31,3.4,$0.37,9.23
2011-09-30,4.09,$0.41,9.87
2011-06-30,4.54,$0.41,10.97
2011-03-31,3.47,$1.40,2.48
2010-12-31,1.58,$0.41,3.83
2010-09-30,1.28,$-0.54,0.0
2010-06-30,1.3,$-0.54,0.0
2010-03-31,1.75,$-1.09,0.0
2009-12-31,1.94,$-0.54,0.0
