Institutional Financial Markets Price to Free Cash Flow Ratio Historical Data,Institutional Financial Markets Price to Free Cash Flow Ratio Historical Data,Institutional Financial Markets Price to Free Cash Flow Ratio Historical Data,Institutional Financial Markets Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.48,,5.85
2024-12-31,10.35,$1.45,7.14
2024-09-30,8.18,$-19.14,0.0
2024-06-30,8.39,$-2.77,0.0
2024-03-31,6.61,$-20.50,0.0
2023-12-31,5.95,$-26.46,0.0
2023-09-30,5.64,$-26.17,0.0
2023-06-30,3.4,$-41.53,0.0
2023-03-31,5.55,$-32.08,0.0
2022-12-31,6.55,$-16.94,0.0
2022-09-30,6.53,$6.78,0.96
2022-06-30,8.09,$8.87,0.91
2022-03-31,11.96,$18.95,0.63
2021-12-31,10.34,$3.27,3.16
2021-09-30,13.31,$-15.28,0.0
2021-06-30,12.83,$-38.18,0.0
2021-03-31,16.15,$-13.85,0.0
2020-12-31,11.12,$8.10,1.37
2020-09-30,13.31,$18.76,0.71
2020-06-30,6.41,$37.55,0.17
2020-03-31,2.26,$12.66,0.18
2019-12-31,2.69,$-9.26,0.0
2019-09-30,2.79,$-9.57,0.0
2019-06-30,3.13,$-16.88,0.0
2019-03-31,4.37,$-13.03,0.0
2018-12-31,5.41,$-4.75,0.0
2018-09-30,6.29,$6.34,0.99
2018-06-30,6.54,$10.16,0.64
2018-03-31,6.61,$7.99,0.83
2017-12-31,4.76,$-4.65,0.0
2017-09-30,6.38,$-12.07,0.0
2017-06-30,6.61,$-7.98,0.0
2017-03-31,6.61,$-11.16,0.0
2016-12-31,6.67,$-5.08,0.0
2016-09-30,6.01,$-2.91,0.0
2016-06-30,4.44,$-3.62,0.0
2016-03-31,4.52,$-1.37,0.0
2015-12-31,6.02,$-2.14,0.0
2015-09-30,7.63,$-1.54,0.0
2015-06-30,7.06,$-2.03,0.0
2015-03-31,7.72,$-3.41,0.0
2014-12-31,8.6,$1.93,4.45
2014-09-30,9.67,$-1.82,0.0
2014-06-30,9.67,$-1.20,0.0
2014-03-31,10.1,$-1.59,0.0
2013-12-31,9.35,$-5.14,0.0
2013-09-30,10.87,$-0.60,0.0
2013-06-30,11.69,$5.03,2.33
2013-03-31,10.7,$9.20,1.16
2012-12-31,5.46,$9.11,0.6
2012-09-30,5.07,$1.74,2.91
2012-06-30,3.75,$-13.13,0.0
2012-03-31,5.88,$-21.12,0.0
2011-12-31,6.14,$-4.26,0.0
2011-09-30,7.87,$-3.01,0.0
2011-06-30,13.71,$8.48,1.62
2011-03-31,18.4,$6.92,2.66
2010-12-31,17.18,$-22.79,0.0
2010-09-30,17.39,$-26.41,0.0
2010-06-30,19.38,$-27.25,0.0
2010-03-31,21.86,$-11.58,0.0
2009-12-31,18.99,$6.89,2.76
