Spruce Biosciences Price to Free Cash Flow Ratio Historical Data,Spruce Biosciences Price to Free Cash Flow Ratio Historical Data,Spruce Biosciences Price to Free Cash Flow Ratio Historical Data,Spruce Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.34,,0.0
2024-09-30,0.47,$-1.18,0.0
2024-06-30,0.52,$-1.26,0.0
2024-03-31,0.79,$-0.86,0.0
2023-12-31,2.93,$-0.86,0.0
2023-09-30,2.26,$-1.04,0.0
2023-06-30,2.15,$-1.10,0.0
2023-03-31,2.21,$-1.64,0.0
2022-12-31,1.1,$-1.77,0.0
2022-09-30,1.37,$-1.69,0.0
2022-06-30,1.74,$-1.66,0.0
2022-03-31,2.01,$-1.66,0.0
2021-12-31,4.46,$-1.54,0.0
2021-09-30,6.01,$-5.73,0.0
