Carter Bankshares Price to Free Cash Flow Ratio Historical Data,Carter Bankshares Price to Free Cash Flow Ratio Historical Data,Carter Bankshares Price to Free Cash Flow Ratio Historical Data,Carter Bankshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.59,,13.14
2024-12-31,17.59,$1.26,13.93
2024-09-30,17.39,$1.14,15.24
2024-06-30,15.12,$1.11,13.58
2024-03-31,12.64,$1.44,8.76
2023-12-31,14.97,$1.59,9.42
2023-09-30,12.53,$2.19,5.72
2023-06-30,14.79,$2.65,5.58
2023-03-31,14.0,$3.05,4.59
2022-12-31,16.59,$2.66,6.25
2022-09-30,16.1,$2.39,6.73
2022-06-30,13.2,$2.86,4.61
2022-03-31,17.37,$3.14,5.53
2021-12-31,15.39,$2.62,5.87
2021-09-30,14.22,$2.69,5.29
2021-06-30,12.51,$0.60,21.0
2021-03-31,13.96,$0.22,63.28
2020-12-31,10.72,$-0.09,0.0
2020-09-30,6.65,$-0.13,0.0
