Ingredion Price to Free Cash Flow Ratio Historical Data,Ingredion Price to Free Cash Flow Ratio Historical Data,Ingredion Price to Free Cash Flow Ratio Historical Data,Ingredion Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,131.76,,7.69
2024-12-31,137.56,$17.13,8.03
2024-09-30,136.63,$17.36,7.87
2024-06-30,113.25,$15.22,7.44
2024-03-31,115.38,$15.12,7.63
2023-12-31,106.45,$11.09,9.6
2023-09-30,95.83,$5.85,16.39
2023-06-30,102.37,$1.87,54.77
2023-03-31,97.64,$-2.03,0.0
2022-12-31,93.34,$-2.10,0.0
2022-09-30,75.54,$-1.20,0.0
2022-06-30,82.71,$-0.88,0.0
2022-03-31,81.16,$0.28,291.0
2021-12-31,89.33,$1.62,55.06
2021-09-30,81.15,$3.80,21.34
2021-06-30,82.5,$5.97,13.81
2021-03-31,81.4,$7.21,11.28
2020-12-31,70.71,$7.34,9.64
2020-09-30,67.48,$6.02,11.2
2020-06-30,73.38,$5.57,13.17
2020-03-31,66.25,$5.69,11.65
2019-12-31,80.88,$5.25,15.4
2019-09-30,70.65,$3.97,17.77
2019-06-30,70.75,$3.73,18.96
2019-03-31,80.61,$3.26,24.7
2018-12-31,77.3,$4.93,15.68
2018-09-30,88.76,$6.98,12.72
2018-06-30,93.06,$6.78,13.73
2018-03-31,107.8,$6.25,17.26
2017-12-31,116.35,$6.30,18.47
2017-09-30,99.98,$6.09,16.42
2017-06-30,98.3,$6.87,14.32
2017-03-31,98.89,$6.87,14.39
2016-12-31,102.18,$6.61,15.45
2016-09-30,108.37,$6.77,16.0
2016-06-30,105.0,$6.34,16.57
2016-03-31,86.34,$6.47,13.33
2015-12-31,77.16,$6.08,12.69
2015-09-30,69.97,$6.39,10.95
2015-06-30,63.62,$6.31,10.09
2015-03-31,61.72,$5.47,11.27
2014-12-31,66.92,$6.14,10.9
2014-09-30,59.5,$5.80,10.25
2014-06-30,58.58,$5.88,9.97
2014-03-31,52.86,$6.17,8.56
2013-12-31,52.82,$4.14,12.77
2013-09-30,50.74,$2.87,17.69
2013-06-30,50.03,$2.78,17.99
2013-03-31,54.83,$4.64,11.82
2012-12-31,48.59,$5.47,8.88
2012-09-30,41.24,$5.29,7.79
2012-06-30,37.02,$2.79,13.29
2012-03-31,42.92,$0.27,160.33
2011-12-31,39.02,$0.51,76.28
2011-09-30,29.0,$-0.11,0.0
2011-06-30,40.69,$1.58,25.75
2011-03-31,38.03,$2.49,15.29
2010-12-31,33.67,$3.10,10.86
2010-09-30,27.36,$5.39,5.08
2010-06-30,22.03,$5.64,3.91
2010-03-31,25.09,$5.81,4.32
2009-12-31,21.08,$5.89,3.58
