Sunnova Energy Price to Free Cash Flow Ratio Historical Data,Sunnova Energy Price to Free Cash Flow Ratio Historical Data,Sunnova Energy Price to Free Cash Flow Ratio Historical Data,Sunnova Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.53,,0.0
2024-12-31,3.43,$-15.73,0.0
2024-09-30,9.74,$-17.43,0.0
2024-06-30,5.58,$-17.62,0.0
2024-03-31,6.13,$-17.29,0.0
2023-12-31,15.25,$-17.49,0.0
2023-09-30,10.47,$-15.26,0.0
2023-06-30,18.31,$-13.77,0.0
2023-03-31,15.62,$-12.46,0.0
2022-12-31,18.01,$-10.50,0.0
2022-09-30,22.08,$-10.38,0.0
2022-06-30,18.43,$-8.53,0.0
2022-03-31,23.06,$-7.34,0.0
2021-12-31,27.92,$-6.89,0.0
2021-09-30,32.94,$-6.28,0.0
2021-06-30,37.66,$-6.93,0.0
2021-03-31,40.82,$-7.28,0.0
2020-12-31,45.13,$-8.08,0.0
2020-09-30,30.41,$-14.77,0.0
2020-06-30,17.07,$-18.98,0.0
