Indaptus Therapeutics Price to Free Cash Flow Ratio Historical Data,Indaptus Therapeutics Price to Free Cash Flow Ratio Historical Data,Indaptus Therapeutics Price to Free Cash Flow Ratio Historical Data,Indaptus Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.76,,0.0
2024-12-31,0.84,$-1.32,0.0
2024-09-30,1.24,$-1.25,0.0
2024-06-30,2.12,$-1.51,0.0
2024-03-31,2.24,$-1.47,0.0
2023-12-31,1.76,$-1.60,0.0
2023-09-30,2.76,$-1.55,0.0
2023-06-30,1.91,$-1.67,0.0
2023-03-31,1.85,$-1.80,0.0
2022-12-31,1.45,$-1.58,0.0
2022-09-30,2.16,$-2.22,0.0
2022-06-30,2.61,$-2.43,0.0
2022-03-31,4.0,$-2.71,0.0
2021-12-31,5.7,$-2.76,0.0
2021-09-30,7.83,$-2.35,0.0
2021-06-30,13.88,$4.71,2.95
2021-03-31,17.48,$6.65,2.63
2020-12-31,13.8,$-1.71,0.0
2020-09-30,20.13,$-13.21,0.0
2020-06-30,22.66,$-35.53,0.0
2020-03-31,15.76,$-62.25,0.0
2019-12-31,40.0,$-70.97,0.0
2019-09-30,58.31,$-90.30,0.0
2019-06-30,347.2,$-99.12,0.0
2019-03-31,586.4,$-92.02,0.0
2018-12-31,603.2,$-112.19,0.0
2018-09-30,452.0,$-130.97,0.0
2018-06-30,352.0,$-120.33,0.0
2018-03-31,506.0,$-129.66,0.0
2017-12-31,412.0,$-122.88,0.0
2017-09-30,716.0,$-75.25,0.0
2017-06-30,456.0,$-86.81,0.0
2017-03-31,409.02,$-100.82,0.0
