FTAI Aviation Price to Free Cash Flow Ratio Historical Data,FTAI Aviation Price to Free Cash Flow Ratio Historical Data,FTAI Aviation Price to Free Cash Flow Ratio Historical Data,FTAI Aviation Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,106.7,,0.0
2024-12-31,144.04,$-3.70,0.0
2024-09-30,132.65,$-3.42,0.0
2024-06-30,102.74,$-4.51,0.0
2024-03-31,66.72,$-3.60,0.0
2023-12-31,45.77,$-1.48,0.0
2023-09-30,34.81,$-1.64,0.0
2023-06-30,30.74,$-0.32,0.0
2023-03-31,26.85,$-1.09,0.0
2022-12-31,16.25,$-3.91,0.0
2022-09-30,14.0,$-8.20,0.0
2022-06-30,17.73,$-6.98,0.0
2022-03-31,23.18,$-6.43,0.0
2021-12-31,25.66,$-6.55,0.0
2021-09-30,22.23,$-1.72,0.0
2021-06-30,29.04,$-5.33,0.0
2021-03-31,24.11,$-6.37,0.0
2020-12-31,19.85,$-5.25,0.0
2020-09-30,14.22,$-7.07,0.0
2020-06-30,10.58,$-5.99,0.0
2020-03-31,6.42,$-5.33,0.0
2019-12-31,14.83,$-5.81,0.0
2019-09-30,11.27,$-5.11,0.0
2019-06-30,10.99,$-6.42,0.0
2019-03-31,12.2,$-8.15,0.0
2018-12-31,10.03,$-6.58,0.0
2018-09-30,12.46,$-6.84,0.0
2018-06-30,12.17,$-5.19,0.0
2018-03-31,10.53,$-4.40,0.0
2017-12-31,12.89,$-5.04,0.0
2017-09-30,11.46,$-3.81,0.0
2017-06-30,9.93,$-4.42,0.0
2017-03-31,9.1,$-2.95,0.0
2016-12-31,7.95,$-2.69,0.0
2016-09-30,7.29,$-2.55,0.0
2016-06-30,5.21,$-3.10,0.0
2016-03-31,5.45,$-3.79,0.0
