Super League Enterprise Price to Free Cash Flow Ratio Historical Data,Super League Enterprise Price to Free Cash Flow Ratio Historical Data,Super League Enterprise Price to Free Cash Flow Ratio Historical Data,Super League Enterprise Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.35,,0.0
2024-09-30,0.62,$-1.71,0.0
2024-06-30,0.8,$-1.14,0.0
2024-03-31,2.15,$-4.78,0.0
2023-12-31,1.52,$-5.77,0.0
2023-09-30,1.74,$-7.10,0.0
2023-06-30,7.6,$-10.91,0.0
2023-03-31,11.1,$-9.60,0.0
2022-12-31,6.73,$-11.51,0.0
2022-09-30,13.5,$-15.78,0.0
2022-06-30,20.4,$-14.46,0.0
2022-03-31,37.6,$-14.96,0.0
2021-12-31,47.2,$-15.92,0.0
2021-09-30,62.2,$-14.86,0.0
2021-06-30,107.8,$-16.05,0.0
2021-03-31,140.8,$-24.00,0.0
2020-12-31,56.6,$-27.86,0.0
2020-09-30,36.6,$-34.21,0.0
2020-06-30,48.0,$-39.16,0.0
2020-03-31,44.0,$-33.69,0.0
2019-12-31,47.2,$-37.49,0.0
