Intchains Group Price to Free Cash Flow Ratio Historical Data,Intchains Group Price to Free Cash Flow Ratio Historical Data,Intchains Group Price to Free Cash Flow Ratio Historical Data,Intchains Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.1,,0.0
2024-09-30,4.47,$-0.12,0.0
2024-06-30,8.56,$-0.12,0.0
2024-03-31,8.6,$-0.12,0.0
2023-12-31,12.37,$-0.12,0.0
