JAKKS Pacific Price to Free Cash Flow Ratio Historical Data,JAKKS Pacific Price to Free Cash Flow Ratio Historical Data,JAKKS Pacific Price to Free Cash Flow Ratio Historical Data,JAKKS Pacific Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,25.05,,10.15
2024-12-31,28.15,$2.47,11.41
2024-09-30,25.52,$-4.34,0.0
2024-06-30,17.91,$1.05,17.04
2024-03-31,24.7,$4.74,5.21
2023-12-31,35.55,$5.43,6.54
2023-09-30,18.59,$8.69,2.14
2023-06-30,19.97,$5.85,3.41
2023-03-31,17.3,$7.16,2.42
2022-12-31,17.49,$7.46,2.35
2022-09-30,19.33,$8.34,2.32
2022-06-30,12.66,$4.81,2.63
2022-03-31,14.03,$-0.79,0.0
2021-12-31,10.16,$-1.88,0.0
2021-09-30,11.88,$5.01,2.37
2021-06-30,11.0,$11.44,0.96
2021-03-31,7.13,$14.94,0.48
2020-12-31,4.98,$9.74,0.51
2020-09-30,3.8,$2.77,1.37
2020-06-30,8.2,$5.47,1.5
2020-03-31,3.49,$-0.14,0.0
2019-12-31,10.3,$4.78,2.15
2019-09-30,8.55,$-0.75,0.0
2019-06-30,7.0,$-4.68,0.0
2019-03-31,10.1,$-1.12,0.0
2018-12-31,14.7,$-5.31,0.0
2018-09-30,25.5,$4.23,6.03
2018-06-30,32.75,$-10.79,0.0
2018-03-31,21.0,$-10.70,0.0
2017-12-31,23.5,$-1.59,0.0
2017-09-30,30.0,$1.94,15.45
2017-06-30,40.0,$-3.89,0.0
2017-03-31,55.0,$-12.92,0.0
2016-12-31,51.5,$1.17,43.83
2016-09-30,86.4,$4.28,20.17
2016-06-30,79.1,$-1.69,0.0
2016-03-31,74.4,$9.54,7.8
2015-12-31,79.6,$11.07,7.19
2015-09-30,85.2,$2.37,35.98
2015-06-30,98.9,$17.46,5.67
2015-03-31,68.4,$2.70,25.33
2014-12-31,68.0,$-21.57,0.0
2014-09-30,71.0,$-11.19,0.0
2014-06-30,77.4,$-12.03,0.0
2014-03-31,72.2,$-16.73,0.0
2013-12-31,67.2,$-14.66,0.0
2013-09-30,45.0,$-13.32,0.0
2013-06-30,112.5,$-6.21,0.0
2013-03-31,104.17,$0.01,0.0
2012-12-31,123.53,$4.64,26.63
2012-09-30,142.61,$5.39,26.45
2012-06-30,155.73,$9.38,16.61
2012-03-31,168.82,$10.62,15.9
2011-12-31,135.7,$11.84,11.46
2011-09-30,181.2,$15.27,11.87
2011-06-30,174.95,$1.98,88.2
2011-03-31,183.88,$10.24,17.96
2010-12-31,173.14,$16.21,10.68
2010-09-30,167.63,$28.03,5.98
2010-06-30,136.65,$49.35,2.77
2010-03-31,124.3,$42.37,2.93
2009-12-31,115.17,$29.98,3.84
