Paychex Price to Free Cash Flow Ratio Historical Data,Paychex Price to Free Cash Flow Ratio Historical Data,Paychex Price to Free Cash Flow Ratio Historical Data,Paychex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,145.23,,33.48
2024-11-30,146.27,$4.34,33.72
2024-08-31,130.33,$4.40,29.61
2024-05-31,118.43,$4.80,24.7
2024-02-29,119.88,$5.33,22.51
2023-11-30,118.39,$5.08,23.29
2023-08-31,117.72,$5.24,22.45
2023-05-31,100.34,$4.36,23.01
2023-02-28,104.71,$4.41,23.76
2022-11-30,116.84,$4.49,26.01
2022-08-31,115.41,$3.95,29.18
2022-05-31,115.18,$4.01,28.7
2022-02-28,110.01,$3.94,27.96
2021-11-30,109.51,$3.47,31.59
2021-08-31,104.61,$3.61,29.02
2021-05-31,91.89,$3.16,29.04
2021-02-28,82.2,$3.15,26.1
2020-11-30,83.48,$3.29,25.38
2020-08-31,68.02,$3.43,19.8
2020-05-31,63.74,$3.64,17.51
2020-02-29,67.66,$3.25,20.83
2019-11-30,74.67,$3.36,22.19
2019-08-31,70.32,$3.23,21.8
2019-05-31,73.29,$3.17,23.1
2019-02-28,65.32,$3.30,19.82
2018-11-30,59.54,$3.14,18.97
2018-08-31,61.11,$2.89,21.12
2018-05-31,54.27,$3.10,17.48
2018-02-28,53.41,$2.84,18.8
2017-11-30,54.8,$2.55,21.49
2017-08-31,46.07,$2.54,18.16
2017-05-31,47.43,$2.39,19.86
2017-02-28,48.8,$2.49,19.6
2016-11-30,46.49,$2.53,18.41
2016-08-31,47.45,$2.58,18.36
2016-05-31,42.08,$2.54,16.57
2016-02-29,39.56,$2.46,16.06
2015-11-30,41.38,$2.21,18.7
2015-08-31,33.79,$2.23,15.16
2015-05-31,37.05,$2.17,17.05
2015-02-28,37.08,$2.12,17.5
2014-11-30,34.99,$2.20,15.92
2014-08-31,30.49,$2.17,14.04
2014-05-31,29.82,$2.18,13.7
2014-02-28,30.03,$1.88,15.98
2013-11-30,31.19,$1.80,17.33
2013-08-31,27.36,$1.70,16.08
2013-05-31,26.1,$1.58,16.51
2013-02-28,23.21,$1.78,13.02
2012-11-30,22.37,$1.75,12.8
2012-08-31,22.63,$1.78,12.73
2012-05-31,20.2,$1.70,11.88
2012-02-29,20.87,$1.77,11.81
2011-11-30,19.22,$1.63,11.76
2011-08-31,17.62,$1.67,10.58
2011-05-31,20.86,$1.70,12.3
2011-02-28,21.52,$1.55,13.88
2010-11-30,18.09,$1.57,11.51
2010-08-31,15.6,$1.52,10.25
2010-05-31,17.68,$1.52,11.63
2010-02-28,18.36,$1.59,11.53
2009-11-30,19.02,$2.44,7.8
