Vox Royalty Price to Free Cash Flow Ratio Historical Data,Vox Royalty Price to Free Cash Flow Ratio Historical Data,Vox Royalty Price to Free Cash Flow Ratio Historical Data,Vox Royalty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.88,,18.37
2024-09-30,3.02,$0.16,19.26
2024-06-30,2.77,$0.14,19.56
2024-03-31,2.06,$0.12,16.49
2023-12-31,2.06,$0.11,18.43
2023-09-30,2.02,$-0.00,0.0
