California BanCorp Price to Free Cash Flow Ratio Historical Data,California BanCorp Price to Free Cash Flow Ratio Historical Data,California BanCorp Price to Free Cash Flow Ratio Historical Data,California BanCorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.9,,30.17
2024-09-30,14.79,$0.49,29.95
2024-06-30,13.47,$0.57,23.63
2024-03-31,14.91,$2.18,6.83
