Matthews Price to Free Cash Flow Ratio Historical Data,Matthews Price to Free Cash Flow Ratio Historical Data,Matthews Price to Free Cash Flow Ratio Historical Data,Matthews Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.15,,17.42
2024-12-31,27.68,$1.33,20.83
2024-09-30,23.01,$1.10,20.88
2024-06-30,24.61,$-0.02,0.0
2024-03-31,30.28,$0.44,68.99
2023-12-31,35.43,$1.16,30.59
2023-09-30,37.35,$0.92,40.4
2023-06-30,40.71,$1.98,20.6
2023-03-31,34.24,$1.35,25.31
2022-12-31,28.73,$1.77,16.2
2022-09-30,21.0,$2.09,10.05
2022-06-30,26.63,$2.93,9.08
2022-03-31,29.84,$3.13,9.53
2021-12-31,33.6,$1.97,17.03
2021-09-30,31.59,$4.10,7.7
2021-06-30,32.54,$4.08,7.97
2021-03-31,35.61,$5.54,6.42
2020-12-31,26.3,$5.68,4.63
2020-09-30,19.85,$4.67,4.25
2020-06-30,16.79,$4.29,3.91
2020-03-31,21.08,$3.64,5.79
2019-12-31,33.07,$2.84,11.66
2019-09-30,30.49,$2.97,10.26
2019-06-30,29.84,$3.51,8.51
2019-03-31,31.63,$3.03,10.42
2018-12-31,34.59,$3.40,10.18
2018-09-30,42.51,$3.28,12.98
2018-06-30,49.65,$2.85,17.44
2018-03-31,42.56,$3.33,12.77
2017-12-31,44.26,$2.74,16.15
2017-09-30,52.0,$3.20,16.23
2017-06-30,51.03,$2.94,17.35
2017-03-31,56.22,$3.11,18.09
2016-12-31,63.71,$3.46,18.42
2016-09-30,50.25,$3.00,16.77
2016-06-30,45.91,$2.76,16.61
2016-03-31,42.34,$2.65,15.98
2015-12-31,43.83,$2.70,16.25
2015-09-30,40.05,$2.80,14.33
2015-06-30,43.36,$2.61,16.63
2015-03-31,41.92,$2.64,15.85
2014-12-31,39.5,$1.85,21.35
2014-09-30,35.52,$2.16,16.47
2014-06-30,33.56,$2.59,12.94
2014-03-31,32.85,$2.83,11.59
2013-12-31,34.21,$3.22,10.62
2013-09-30,30.5,$3.03,10.06
2013-06-30,30.12,$2.69,11.19
2013-03-31,27.81,$2.10,13.26
2012-12-31,25.49,$1.81,14.09
2012-09-30,23.6,$1.77,13.36
2012-06-30,25.63,$2.12,12.09
2012-03-31,24.89,$2.08,11.94
2011-12-31,24.66,$2.11,11.68
2011-09-30,24.05,$2.62,9.19
2011-06-30,31.37,$2.03,15.48
2011-03-31,30.04,$2.19,13.73
2010-12-31,27.2,$2.78,9.79
2010-09-30,27.43,$2.87,9.56
2010-06-30,22.67,$2.89,7.84
2010-03-31,27.43,$2.70,10.18
2009-12-31,27.32,$3.01,9.07
