Bionano Genomics Price to Free Cash Flow Ratio Historical Data,Bionano Genomics Price to Free Cash Flow Ratio Historical Data,Bionano Genomics Price to Free Cash Flow Ratio Historical Data,Bionano Genomics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.25,,0.0
2024-09-30,0.45,$-101.23,0.0
2024-06-30,0.68,$-133.09,0.0
2024-03-31,1.11,$-189.46,0.0
2023-12-31,1.89,$-222.46,0.0
2023-09-30,3.03,$-239.42,0.0
2023-06-30,6.1,$-268.06,0.0
2023-03-31,11.1,$-259.71,0.0
2022-12-31,14.6,$-263.36,0.0
2022-09-30,18.3,$-246.73,0.0
2022-06-30,13.8,$-229.25,0.0
2022-03-31,25.8,$-194.41,0.0
2021-12-31,29.9,$-157.39,0.0
2021-09-30,55.0,$-201.45,0.0
2021-06-30,73.3,$-176.03,0.0
2021-03-31,80.8,$-116.45,0.0
2020-12-31,30.8,$-220.07,0.0
2020-09-30,6.5,$-191.92,0.0
2020-06-30,5.1,$-572.28,0.0
2020-03-31,4.55,$-933.99,0.0
2019-12-31,12.4,"$-1,183.00",0.0
2019-09-30,7.2,"$-1,579.72",0.0
2019-06-30,24.5,"$-2,426.74",0.0
