Duos Technologies Price to Free Cash Flow Ratio Historical Data,Duos Technologies Price to Free Cash Flow Ratio Historical Data,Duos Technologies Price to Free Cash Flow Ratio Historical Data,Duos Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.28,,0.0
2024-09-30,3.0,$-1.46,0.0
2024-06-30,2.86,$-1.66,0.0
2024-03-31,4.34,$-1.60,0.0
2023-12-31,2.9,$-1.36,0.0
2023-09-30,5.13,$-1.61,0.0
2023-06-30,5.94,$-1.74,0.0
2023-03-31,2.8,$-1.24,0.0
2022-12-31,2.0,$-1.38,0.0
