SKYX Platforms Price to Free Cash Flow Ratio Historical Data,SKYX Platforms Price to Free Cash Flow Ratio Historical Data,SKYX Platforms Price to Free Cash Flow Ratio Historical Data,SKYX Platforms Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.32,,0.0
2024-09-30,0.85,$-0.17,0.0
2024-06-30,0.95,$-0.18,0.0
2024-03-31,1.31,$-0.16,0.0
2023-12-31,1.6,$-0.15,0.0
2023-09-30,1.42,$-0.17,0.0
2023-06-30,2.66,$-0.17,0.0
2023-03-31,3.46,$-0.18,0.0
2022-12-31,2.52,$-0.18,0.0
