PepsiCo Price to Free Cash Flow Ratio Historical Data,PepsiCo Price to Free Cash Flow Ratio Historical Data,PepsiCo Price to Free Cash Flow Ratio Historical Data,PepsiCo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,147.15,,26.92
2024-12-31,152.06,$5.47,27.82
2024-09-30,168.6,$4.67,36.11
2024-06-30,162.29,$5.23,31.02
2024-03-31,170.85,$5.37,31.83
2023-12-31,164.54,$5.87,28.02
2023-09-30,162.93,$5.13,31.76
2023-06-30,176.85,$4.24,41.71
2023-03-31,172.86,$4.03,42.89
2022-12-31,170.18,$4.22,40.31
2022-09-30,152.84,$4.85,31.48
2022-06-30,154.99,$4.83,32.12
2022-03-31,154.6,$5.51,28.06
2021-12-31,159.39,$5.15,30.93
2021-09-30,137.1,$4.85,28.25
2021-06-30,134.13,$5.17,25.95
2021-03-31,127.13,$4.64,27.38
2020-12-31,132.23,$4.62,28.64
2020-09-30,122.72,$4.65,26.4
2020-06-30,116.25,$3.99,29.11
2020-03-31,104.74,$3.65,28.72
2019-12-31,118.37,$3.97,29.81
2019-09-30,117.92,$4.35,27.09
2019-06-30,112.0,$4.45,25.14
2019-03-31,103.92,$5.00,20.79
2018-12-31,92.94,$4.40,21.13
2018-09-30,93.31,$4.07,22.93
2018-06-30,90.13,$4.19,21.5
2018-03-31,89.53,$4.23,21.18
2017-12-31,97.64,$5.04,19.39
2017-09-30,90.1,$4.92,18.31
2017-06-30,92.74,$4.76,19.5
2017-03-31,89.21,$5.01,17.8
2016-12-31,82.87,$5.32,15.58
2016-09-30,85.51,$5.55,15.4
2016-06-30,82.7,$5.74,14.41
2016-03-31,79.41,$5.47,14.52
2015-12-31,76.88,$5.52,13.94
2015-09-30,72.05,$5.29,13.62
2015-06-30,70.77,$5.22,13.55
2015-03-31,71.97,$5.20,13.84
2014-12-31,70.69,$5.08,13.91
2014-09-30,69.14,$4.57,15.14
2014-06-30,65.88,$4.30,15.33
2014-03-31,61.12,$4.12,14.84
2013-12-31,60.29,$4.49,13.43
2013-09-30,57.39,$4.67,12.29
2013-06-30,58.63,$4.84,12.12
2013-03-31,56.31,$4.61,12.23
2012-12-31,48.37,$3.72,13.0
2012-09-30,49.64,$3.50,14.17
2012-06-30,49.19,$3.09,15.93
2012-03-31,45.83,$2.96,15.47
2011-12-31,45.46,$3.56,12.76
2011-09-30,42.07,$3.13,13.44
2011-06-30,47.49,$3.06,15.5
2011-03-31,43.11,$3.25,13.25
2010-12-31,43.4,$3.27,13.28
2010-09-30,43.82,$3.49,12.54
2010-06-30,39.9,$3.42,11.65
2010-03-31,42.99,$3.34,12.87
2009-12-31,39.23,$3.00,13.09
