Hyperfine Price to Free Cash Flow Ratio Historical Data,Hyperfine Price to Free Cash Flow Ratio Historical Data,Hyperfine Price to Free Cash Flow Ratio Historical Data,Hyperfine Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.86,,0.0
2024-09-30,1.08,$-0.57,0.0
2024-06-30,0.85,$-0.58,0.0
2024-03-31,1.0,$-0.58,0.0
2023-12-31,1.12,$-0.60,0.0
2023-09-30,2.05,$-0.67,0.0
2023-06-30,2.15,$-0.73,0.0
2023-03-31,1.44,$-0.83,0.0
2022-12-31,0.84,$-1.04,0.0
2022-09-30,0.81,$1.94,0.42
2022-06-30,2.23,$-2.21,0.0
2022-03-31,3.54,$-9.13,0.0
2021-12-31,7.25,$-13.52,0.0
