Enterprise Bancorp Inc Price to Free Cash Flow Ratio Historical Data,Enterprise Bancorp Inc Price to Free Cash Flow Ratio Historical Data,Enterprise Bancorp Inc Price to Free Cash Flow Ratio Historical Data,Enterprise Bancorp Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,39.19,,11.03
2024-12-31,39.54,$3.55,11.13
2024-09-30,31.75,$3.51,9.04
2024-06-30,24.5,$4.82,5.08
2024-03-31,25.33,$3.88,6.53
2023-12-31,31.2,$4.18,7.47
2023-09-30,26.25,$4.94,5.32
2023-06-30,27.54,$2.99,9.21
2023-03-31,29.68,$4.35,6.82
2022-12-31,33.1,$3.55,9.32
2022-09-30,27.86,$3.55,7.85
2022-06-30,29.8,$3.96,7.52
2022-03-31,36.91,$4.07,9.06
2021-12-31,41.12,$4.82,8.54
2021-09-30,32.76,$3.72,8.8
2021-06-30,29.69,$3.87,7.68
2021-03-31,29.32,$2.21,13.28
2020-12-31,22.88,$2.82,8.11
2020-09-30,18.69,$2.94,6.35
2020-06-30,21.02,$2.73,7.7
2020-03-31,23.63,$3.24,7.3
2019-12-31,29.48,$2.63,11.21
2019-09-30,25.97,$2.63,9.89
2019-06-30,27.46,$2.37,11.57
2019-03-31,24.75,$3.03,8.17
2018-12-31,27.57,$3.11,8.87
2018-09-30,29.34,$2.59,11.32
2018-06-30,34.36,$3.09,11.11
2018-03-31,29.87,$2.41,12.39
2017-12-31,28.69,$2.55,11.25
2017-09-30,30.48,$2.60,11.72
2017-06-30,29.7,$2.14,13.89
2017-03-31,28.93,$2.32,12.47
2016-12-31,31.13,$1.76,17.71
2016-09-30,23.1,$0.95,24.24
2016-06-30,19.68,$0.95,20.66
2016-03-31,21.41,$0.99,21.65
2015-12-31,18.53,$2.10,8.84
2015-09-30,16.92,$1.48,11.47
2015-06-30,18.8,$2.08,9.04
2015-03-31,16.95,$2.11,8.04
2014-12-31,20.02,$0.83,24.12
2014-09-30,14.86,$1.62,9.2
2014-06-30,16.18,$2.26,7.16
2014-03-31,15.84,$2.06,7.71
2013-12-31,16.39,$2.93,5.58
2013-09-30,14.55,$3.09,4.71
2013-06-30,14.14,$0.73,19.46
2013-03-31,12.87,$1.46,8.84
2012-12-31,12.46,$1.00,12.5
2012-09-30,12.8,$1.04,12.36
2012-06-30,12.2,$1.98,6.15
2012-03-31,12.15,$0.94,12.94
2011-12-31,10.5,$1.59,6.6
2011-09-30,8.99,$1.24,7.23
2011-06-30,10.91,$1.35,8.1
2011-03-31,10.72,$1.37,7.84
2010-12-31,9.72,$0.72,13.48
2010-09-30,7.71,$0.76,10.17
2010-06-30,7.37,$1.11,6.62
2010-03-31,8.5,$1.18,7.18
2009-12-31,7.55,$1.17,6.43
