Weyerhaeuser Price to Free Cash Flow Ratio Historical Data,Weyerhaeuser Price to Free Cash Flow Ratio Historical Data,Weyerhaeuser Price to Free Cash Flow Ratio Historical Data,Weyerhaeuser Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,30.11,,64.37
2024-12-31,28.15,$0.47,60.18
2024-09-30,33.65,$0.44,77.34
2024-06-30,28.03,$0.85,33.13
2024-03-31,35.46,$1.02,34.93
2023-12-31,33.99,$1.03,33.05
2023-09-30,29.79,$1.03,28.9
2023-06-30,32.37,$1.19,27.31
2023-03-31,28.91,$1.70,17.02
2022-12-31,28.78,$2.78,10.33
2022-09-30,26.37,$3.05,8.64
2022-06-30,30.42,$3.35,9.07
2022-03-31,34.65,$3.72,9.31
2021-12-31,36.13,$3.42,10.56
2021-09-30,30.65,$3.17,9.68
2021-06-30,29.52,$2.95,10.02
2021-03-31,30.39,$1.94,15.69
2020-12-31,28.47,$1.10,25.87
2020-09-30,24.08,$1.38,17.4
2020-06-30,18.96,$0.92,20.63
2020-03-31,14.31,$0.90,15.86
2019-12-31,25.18,$0.78,32.27
2019-09-30,22.83,$0.78,29.42
2019-06-30,21.44,$0.50,43.25
2019-03-31,21.12,$0.73,28.74
2018-12-31,17.3,$0.91,19.11
2018-09-30,25.53,$0.68,37.82
2018-06-30,28.56,$1.55,18.39
2018-03-31,27.19,$1.42,19.2
2017-12-31,27.14,$1.30,20.85
2017-09-30,25.96,$0.38,67.48
2017-06-30,25.32,$0.20,125.59
2017-03-31,25.44,$0.21,121.62
2016-12-31,22.33,$0.31,71.68
2016-09-30,23.46,$1.56,15.05
2016-06-30,21.65,$1.23,17.67
2016-03-31,22.31,$1.19,18.74
2015-12-31,21.35,$1.07,19.95
2015-09-30,19.27,$1.09,17.6
2015-06-30,21.94,$1.29,16.95
2015-03-31,22.88,$1.16,19.81
2014-12-31,24.57,$1.32,18.57
2014-09-30,21.62,$1.44,14.98
2014-06-30,22.27,$1.36,16.32
2014-03-31,19.61,$1.57,12.46
2013-12-31,20.94,$1.28,16.36
2013-09-30,18.85,$1.18,15.97
2013-06-30,18.61,$0.80,23.37
2013-03-31,20.37,$0.58,35.28
2012-12-31,17.96,$0.55,32.9
2012-09-30,16.77,$0.99,16.87
2012-06-30,14.26,$1.01,14.1
2012-03-31,13.87,$0.44,31.87
2011-12-31,11.73,$0.76,15.37
2011-09-30,9.69,$1.05,9.22
2011-06-30,13.5,$0.70,19.22
2011-03-31,15.09,$1.10,13.78
2010-12-31,11.54,$2.09,5.52
2010-09-30,9.58,$2.87,3.34
2010-06-30,8.04,$2.96,2.72
2010-03-31,10.33,$1.77,5.85
2009-12-31,9.84,$-0.34,0.0
