Cracker Barrel Old Country Store Price to Free Cash Flow Ratio Historical Data,Cracker Barrel Old Country Store Price to Free Cash Flow Ratio Historical Data,Cracker Barrel Old Country Store Price to Free Cash Flow Ratio Historical Data,Cracker Barrel Old Country Store Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,40.85,,17.98
2025-01-31,64.98,$2.27,28.61
2024-10-31,47.57,$1.85,25.7
2024-07-31,45.6,$1.96,23.23
2024-04-30,57.57,$3.57,16.13
2024-01-31,74.88,$3.72,20.12
2023-10-31,63.11,$4.77,13.23
2023-07-31,87.02,$5.59,15.56
2023-04-30,97.82,$5.47,17.88
2023-01-31,101.66,$3.65,27.85
2022-10-31,102.77,$3.23,31.83
2022-07-31,84.43,$4.60,18.34
2022-04-30,97.14,$4.68,20.74
2022-01-31,103.14,$9.14,11.28
2021-10-31,114.15,$8.17,13.98
2021-07-31,115.59,$16.01,7.22
2021-04-30,141.15,$16.07,8.78
2021-01-31,114.04,$7.84,14.55
2020-10-31,95.93,$10.43,9.2
2020-07-31,92.11,$2.97,30.99
2020-04-30,81.21,$3.38,24.06
2020-01-31,125.64,$9.61,13.07
2019-10-31,126.72,$9.15,13.85
2019-07-31,140.38,$9.32,15.06
2019-04-30,133.02,$8.64,15.39
2019-01-31,130.8,$8.90,14.7
2018-10-31,123.16,$8.04,15.31
2018-07-31,112.8,$7.43,15.19
2018-04-30,122.67,$8.63,14.22
2018-01-31,130.56,$8.26,15.8
2017-10-31,114.72,$8.69,13.2
2017-07-31,113.31,$8.74,12.97
2017-04-30,113.44,$8.32,13.64
2017-01-31,111.12,$8.54,13.01
2016-10-31,96.31,$7.82,12.31
2016-07-31,108.91,$6.57,16.57
2016-04-30,98.52,$6.95,14.18
2016-01-31,87.67,$7.38,11.88
2015-10-31,91.01,$8.50,10.71
2015-07-31,99.77,$10.19,9.79
2015-04-30,84.76,$8.58,9.88
2015-01-31,85.45,$7.48,11.43
2014-10-31,72.73,$5.58,13.03
2014-07-31,60.57,$3.66,16.55
2014-04-30,58.59,$4.73,12.39
2014-01-31,60.75,$4.51,13.48
2013-10-31,66.93,$5.64,11.87
2013-07-31,59.22,$5.62,10.53
2013-04-30,49.67,$4.90,10.15
2013-01-31,38.68,$4.87,7.94
2012-10-31,37.68,$4.76,7.92
2012-07-31,36.82,$5.96,6.18
2012-04-30,33.59,$4.90,6.86
2012-01-31,30.49,$5.43,5.62
2011-10-31,24.52,$4.15,5.91
2011-07-31,25.94,$2.90,8.96
2011-04-30,29.33,$3.57,8.21
2011-01-31,29.34,$4.23,6.94
2010-10-31,30.58,$4.48,6.83
2010-07-31,27.68,$6.03,4.59
2010-04-30,27.79,$9.03,3.08
2010-01-31,20.72,$8.69,2.38
2009-10-31,18.49,$7.16,2.58
