PermRock Royalty Trust Price to Free Cash Flow Ratio Historical Data,PermRock Royalty Trust Price to Free Cash Flow Ratio Historical Data,PermRock Royalty Trust Price to Free Cash Flow Ratio Historical Data,PermRock Royalty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.02,,inf
2024-09-30,3.89,0.0,0.0
2024-06-30,3.73,0.0,0.0
2024-03-31,3.94,0.0,0.0
2023-12-31,4.08,0.0,0.0
2023-09-30,5.97,0.0,0.0
2023-06-30,4.83,0.0,0.0
2023-03-31,6.05,0.0,0.0
2022-12-31,6.53,0.0,0.0
2022-09-30,5.88,0.0,0.0
2022-06-30,6.15,0.0,0.0
2022-03-31,6.95,0.0,0.0
2021-12-31,5.25,0.0,0.0
2021-09-30,4.87,0.0,0.0
2021-06-30,5.07,0.0,0.0
2021-03-31,4.33,0.0,0.0
2020-12-31,1.78,0.0,0.0
2020-09-30,1.25,0.0,0.0
2020-06-30,1.92,0.0,0.0
2020-03-31,1.75,0.0,0.0
2019-12-31,3.51,0.0,0.0
2019-09-30,5.14,0.0,0.0
2019-06-30,4.94,0.0,0.0
2019-03-31,5.05,0.0,0.0
