Pacific Premier Bancorp Inc Price to Free Cash Flow Ratio Historical Data,Pacific Premier Bancorp Inc Price to Free Cash Flow Ratio Historical Data,Pacific Premier Bancorp Inc Price to Free Cash Flow Ratio Historical Data,Pacific Premier Bancorp Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.75,,9.24
2024-12-31,24.92,$2.35,10.59
2024-09-30,24.83,$1.74,14.24
2024-06-30,22.36,$2.05,10.9
2024-03-31,23.03,$2.41,9.55
2023-12-31,27.55,$2.59,10.62
2023-09-30,20.27,$3.59,5.65
2023-06-30,19.02,$3.92,4.85
2023-03-31,21.71,$3.68,5.91
2022-12-31,28.26,$4.29,6.59
2022-09-30,27.47,$4.14,6.64
2022-06-30,25.69,$3.73,6.89
2022-03-31,30.75,$3.59,8.56
2021-12-31,34.52,$3.31,10.42
2021-09-30,35.45,$3.46,10.26
2021-06-30,35.87,$2.93,12.24
2021-03-31,36.59,$2.94,12.43
2020-12-31,26.17,$2.53,10.36
2020-09-30,16.65,$2.56,6.49
2020-06-30,17.71,$3.00,5.9
2020-03-31,15.2,$2.95,5.14
2019-12-31,26.08,$2.94,8.86
2019-09-30,24.79,$3.44,7.21
2019-06-30,24.36,$2.37,10.28
2019-03-31,20.77,$3.37,6.16
2018-12-31,19.83,$3.41,5.82
2018-09-30,28.91,$2.85,10.14
2018-06-30,29.65,$2.98,9.95
2018-03-31,31.24,$2.14,14.57
2017-12-31,31.09,$1.69,18.36
2017-09-30,29.34,$1.75,16.74
2017-06-30,28.68,$2.34,12.25
2017-03-31,29.96,$2.09,14.3
2016-12-31,27.47,$2.24,12.25
2016-09-30,20.56,$1.82,11.31
2016-06-30,18.65,$1.77,10.52
2016-03-31,16.61,$1.50,11.07
2015-12-31,16.51,$1.08,15.24
2015-09-30,15.79,$0.80,19.86
2015-06-30,13.18,$0.82,16.05
2015-03-31,12.58,$0.75,16.75
2014-12-31,13.47,$0.68,19.9
2014-09-30,10.92,$0.84,13.01
2014-06-30,10.95,$0.48,22.74
2014-03-31,12.54,$0.68,18.54
2013-12-31,12.23,$0.72,17.04
2013-09-30,10.43,$1.25,8.38
2013-06-30,9.5,$0.81,11.72
2013-03-31,10.22,$0.51,20.16
2012-12-31,7.96,$0.70,11.44
2012-09-30,7.41,$-0.06,0.0
2012-06-30,6.53,$0.79,8.31
2012-03-31,6.22,$1.14,5.46
2011-12-31,4.93,$0.86,5.71
2011-09-30,4.59,$1.22,3.77
2011-06-30,4.97,$0.66,7.5
2011-03-31,5.3,$0.48,11.01
2010-12-31,5.04,$0.81,6.26
2010-09-30,3.46,$0.04,78.78
2010-06-30,3.26,$0.58,5.64
2010-03-31,3.81,$0.96,3.96
2009-12-31,2.62,$0.99,2.66
