Immuneering Price to Free Cash Flow Ratio Historical Data,Immuneering Price to Free Cash Flow Ratio Historical Data,Immuneering Price to Free Cash Flow Ratio Historical Data,Immuneering Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.65,,0.0
2024-12-31,2.2,$-1.84,0.0
2024-09-30,2.49,$-1.82,0.0
2024-06-30,1.28,$-1.77,0.0
2024-03-31,2.89,$-1.72,0.0
2023-12-31,7.35,$-1.74,0.0
2023-09-30,7.68,$-1.72,0.0
2023-06-30,10.14,$-1.75,0.0
2023-03-31,9.71,$-1.78,0.0
2022-12-31,4.85,$-1.70,0.0
2022-09-30,14.32,$-2.34,0.0
2022-06-30,5.41,$-3.11,0.0
