Granite Point Mortgage Trust Price to Free Cash Flow Ratio Historical Data,Granite Point Mortgage Trust Price to Free Cash Flow Ratio Historical Data,Granite Point Mortgage Trust Price to Free Cash Flow Ratio Historical Data,Granite Point Mortgage Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.83,,23.82
2024-12-31,2.79,$0.12,23.48
2024-09-30,3.12,$0.32,9.74
2024-06-30,2.87,$0.55,5.23
2024-03-31,4.61,$0.84,5.48
2023-12-31,5.57,$1.01,5.52
2023-09-30,4.43,$1.15,3.84
2023-06-30,4.62,$1.20,3.86
2023-03-31,4.17,$1.07,3.91
2022-12-31,4.33,$1.11,3.9
2022-09-30,5.01,$1.08,4.63
2022-06-30,7.17,$1.00,7.18
2022-03-31,8.12,$1.10,7.35
2021-12-31,8.36,$1.10,7.62
2021-09-30,9.21,$0.51,18.14
2021-06-30,10.12,$0.31,33.04
2021-03-31,8.08,$1.32,6.12
2020-12-31,6.6,$0.37,17.98
2020-09-30,4.36,$0.90,4.85
2020-06-30,4.42,$1.33,3.33
2020-03-31,3.12,$0.15,20.38
2019-12-31,11.3,$1.17,9.7
2019-09-30,11.01,$1.26,8.77
2019-06-30,11.03,$1.09,10.14
2019-03-31,10.68,$1.24,8.64
2018-12-31,10.14,$1.20,8.46
2018-09-30,10.36,$1.25,8.32
2018-06-30,9.86,$1.15,8.59
2018-03-31,8.7,$0.97,9.01
