Campbell's Price to Free Cash Flow Ratio Historical Data,Campbell's Price to Free Cash Flow Ratio Historical Data,Campbell's Price to Free Cash Flow Ratio Historical Data,Campbell's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,37.98,,14.73
2025-01-31,38.77,$2.58,15.04
2024-10-31,46.65,$2.51,18.62
2024-07-31,46.5,$2.23,20.88
2024-04-30,44.99,$2.11,21.33
2024-01-31,43.55,$2.06,21.15
2023-10-31,39.1,$2.17,17.99
2023-07-31,43.93,$2.57,17.11
2023-04-30,51.65,$2.25,22.93
2023-01-31,49.07,$2.92,16.78
2022-10-31,49.66,$2.88,17.22
2022-07-31,45.96,$3.11,14.78
2022-04-30,43.65,$3.28,13.31
2022-01-31,40.45,$3.02,13.38
2021-10-31,36.32,$2.87,12.67
2021-07-31,39.41,$2.49,15.81
2021-04-30,42.69,$2.90,14.73
2021-01-31,42.69,$3.55,12.03
2020-10-31,41.09,$3.67,11.18
2020-07-31,43.33,$3.61,12.01
2020-04-30,43.38,$3.34,12.97
2020-01-31,41.69,$2.76,15.1
2019-10-31,39.61,$3.24,12.21
2019-07-31,35.09,$3.36,10.45
2019-04-30,32.56,$3.30,9.86
2019-01-31,29.56,$3.45,8.57
2018-10-31,31.21,$2.94,10.61
2018-07-31,33.8,$2.97,11.37
2018-04-30,33.42,$3.11,10.75
2018-01-31,37.84,$3.10,12.22
2017-10-31,38.22,$2.99,12.79
2017-07-31,42.3,$3.11,13.58
2017-04-30,45.76,$3.21,14.27
2017-01-31,49.19,$3.56,13.82
2016-10-31,42.7,$3.72,11.47
2016-07-31,48.62,$3.73,13.05
2016-04-30,47.96,$3.51,13.67
2016-01-31,43.62,$3.20,13.65
2015-10-31,39.04,$2.83,13.79
2015-07-31,37.67,$2.69,14.02
2015-04-30,33.93,$2.33,14.54
2015-01-31,34.48,$2.44,14.15
2014-10-31,33.07,$2.28,14.51
2014-07-31,30.91,$1.82,17.02
2014-04-30,33.58,$1.93,17.43
2014-01-31,30.21,$1.74,17.36
2013-10-31,30.98,$1.99,15.57
2013-07-31,33.8,$2.17,15.57
2013-04-30,33.3,$2.50,13.33
2013-01-31,26.34,$2.55,10.34
2012-10-31,24.7,$2.52,9.8
2012-07-31,23.0,$2.50,9.19
2012-04-30,23.29,$2.49,9.34
2012-01-31,21.64,$2.61,8.3
2011-10-31,22.5,$2.93,7.67
2011-07-31,22.17,$2.67,8.3
2011-04-30,22.34,$2.46,9.06
2011-01-31,22.51,$2.30,9.77
2010-10-31,23.7,$2.29,10.36
2010-07-31,23.3,$2.20,10.58
2010-04-30,23.09,$2.53,9.12
2010-01-31,21.16,$2.59,8.18
2009-10-31,20.12,$2.09,9.63
