CLEAR Secure Price to Free Cash Flow Ratio Historical Data,CLEAR Secure Price to Free Cash Flow Ratio Historical Data,CLEAR Secure Price to Free Cash Flow Ratio Historical Data,CLEAR Secure Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.62,,13.56
2024-12-31,26.64,$1.96,13.57
2024-09-30,33.14,$2.55,12.99
2024-06-30,18.71,$2.89,6.47
2024-03-31,21.27,$2.44,8.72
2023-12-31,20.65,$2.18,9.48
2023-09-30,19.04,$2.08,9.16
2023-06-30,23.17,$2.21,10.5
2023-03-31,26.17,$1.99,13.18
2022-12-31,27.43,$1.67,16.45
2022-09-30,22.86,$1.12,20.49
2022-06-30,20.0,$1.50,13.3
2022-03-31,26.88,$0.79,33.92
