Peoples Bancorp Of North Carolina Price to Free Cash Flow Ratio Historical Data,Peoples Bancorp Of North Carolina Price to Free Cash Flow Ratio Historical Data,Peoples Bancorp Of North Carolina Price to Free Cash Flow Ratio Historical Data,Peoples Bancorp Of North Carolina Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.68,,7.6
2024-12-31,31.25,$3.64,8.58
2024-09-30,25.24,$3.64,6.93
2024-06-30,28.84,$3.38,8.53
2024-03-31,27.33,$3.30,8.29
2023-12-31,29.97,$3.97,7.54
2023-09-30,21.16,$3.91,5.41
2023-06-30,17.33,$4.25,4.07
2023-03-31,29.97,$3.27,9.15
2022-12-31,30.41,$3.19,9.54
2022-09-30,23.02,$3.95,5.82
2022-06-30,25.04,$3.29,7.61
2022-03-31,26.28,$3.96,6.64
2021-12-31,24.97,$4.71,5.3
2021-09-30,25.54,$3.22,7.92
2021-06-30,23.07,$3.10,7.45
2021-03-31,21.01,$2.88,7.29
2020-12-31,20.32,$1.15,17.74
2020-09-30,13.54,$1.59,8.52
2020-06-30,15.37,$2.02,7.63
2020-03-31,17.56,$1.38,12.74
2019-12-31,28.02,$1.77,15.84
2019-09-30,25.23,$2.19,11.51
2019-06-30,25.39,$2.27,11.18
2019-03-31,22.36,$2.90,7.7
2018-12-31,20.38,$2.84,7.17
2018-09-30,23.92,$2.42,9.88
2018-06-30,26.45,$2.53,10.44
2018-03-31,25.27,$2.08,12.17
2017-12-31,25.13,$2.16,11.65
2017-09-30,26.41,$1.47,17.92
2017-06-30,23.34,$1.19,19.63
2017-03-31,21.84,$1.42,15.38
2016-12-31,18.36,$1.92,9.56
2016-09-30,15.31,$2.14,7.14
2016-06-30,14.23,$2.77,5.15
2016-03-31,13.42,$3.13,4.29
2015-12-31,13.9,$2.89,4.82
2015-09-30,12.52,$1.05,11.88
2015-06-30,13.07,$0.81,16.2
2015-03-31,13.12,$2.47,5.32
2014-12-31,12.74,$0.36,35.09
2014-09-30,11.97,$2.94,4.07
2014-06-30,11.26,$3.70,3.04
2014-03-31,10.96,$1.91,5.74
2013-12-31,9.93,$4.57,2.17
2013-09-30,8.63,$4.37,1.98
2013-06-30,9.0,$1.62,5.55
2013-03-31,7.77,$4.49,1.73
2012-12-31,6.31,$3.85,1.64
2012-09-30,6.89,$3.70,1.86
2012-06-30,5.47,$6.10,0.9
2012-03-31,5.55,$3.26,1.7
2011-12-31,3.73,$3.95,0.94
2011-09-30,3.16,$4.08,0.77
2011-06-30,4.3,$3.48,1.23
2011-03-31,4.48,$3.95,1.13
2010-12-31,3.52,$3.62,0.97
2010-09-30,3.23,$2.94,1.1
2010-06-30,3.19,$2.42,1.31
2010-03-31,3.94,$1.67,2.36
2009-12-31,3.26,$1.08,3.04
