Kronos Bio Price to Free Cash Flow Ratio Historical Data,Kronos Bio Price to Free Cash Flow Ratio Historical Data,Kronos Bio Price to Free Cash Flow Ratio Historical Data,Kronos Bio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.88,,0.0
2024-09-30,1.0,$-1.31,0.0
2024-06-30,1.24,$-1.49,0.0
2024-03-31,1.3,$-1.67,0.0
2023-12-31,1.25,$-1.37,0.0
2023-09-30,1.3,$-1.34,0.0
2023-06-30,1.72,$-1.35,0.0
2023-03-31,1.46,$-1.31,0.0
2022-12-31,1.62,$-1.63,0.0
2022-09-30,3.35,$-2.31,0.0
2022-06-30,3.64,$-2.29,0.0
2022-03-31,7.23,$-2.28,0.0
2021-12-31,13.59,$-2.23,0.0
2021-09-30,20.96,$-2.15,0.0
