ONEOK Price to Free Cash Flow Ratio Historical Data,ONEOK Price to Free Cash Flow Ratio Historical Data,ONEOK Price to Free Cash Flow Ratio Historical Data,ONEOK Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,100.65,,20.59
2024-12-31,100.4,$4.89,20.54
2024-09-30,90.17,$4.73,19.07
2024-06-30,79.73,$4.47,17.83
2024-03-31,77.41,$3.89,19.9
2023-12-31,66.86,$5.82,11.48
2023-09-30,59.52,$5.81,10.25
2023-06-30,57.1,$5.37,10.62
2023-03-31,57.94,$5.42,10.7
2022-12-31,59.08,$3.80,15.55
2022-09-30,45.36,$4.08,11.11
2022-06-30,48.38,$3.99,12.13
2022-03-31,60.67,$3.79,15.99
2021-12-31,49.69,$4.13,12.02
2021-09-30,48.33,$3.39,14.25
2021-06-30,45.55,$2.92,15.58
2021-03-31,40.72,$1.38,29.43
2020-12-31,30.14,$-0.69,0.0
2020-09-30,19.77,$-3.02,0.0
2020-06-30,24.46,$-4.69,0.0
2020-03-31,15.53,$-4.56,0.0
2019-12-31,53.22,$-4.58,0.0
2019-09-30,51.16,$-3.79,0.0
2019-06-30,47.15,$-2.64,0.0
2019-03-31,47.27,$-1.74,0.0
2018-12-31,36.02,$0.11,329.81
2018-09-30,44.64,$1.60,27.98
2018-06-30,45.43,$1.52,29.94
2018-03-31,36.55,$2.51,14.58
2017-12-31,33.89,$2.68,12.65
2017-09-30,34.64,$3.02,11.46
2017-06-30,32.16,$4.63,6.95
2017-03-31,33.79,$4.05,8.34
2016-12-31,34.61,$3.55,9.75
2016-09-30,30.59,$2.45,12.5
2016-06-30,27.86,$1.65,16.87
2016-03-31,17.24,$0.91,18.91
2015-12-31,13.88,$-0.77,0.0
2015-09-30,17.79,$-1.84,0.0
2015-06-30,21.47,$-2.35,0.0
2015-03-31,25.91,$-4.04,0.0
2014-12-31,26.37,$-2.31,0.0
2014-09-30,34.36,$-3.36,0.0
2014-06-30,35.38,$-4.59,0.0
2014-03-31,30.51,$-4.10,0.0
2013-12-31,27.97,$-4.52,0.0
2013-09-30,23.83,$-4.61,0.0
2013-06-30,18.33,$-4.82,0.0
2013-03-31,21.0,$-4.63,0.0
2012-12-31,18.69,$-4.13,0.0
2012-09-30,20.97,$-2.95,0.0
2012-06-30,18.23,$-2.13,0.0
2012-03-31,17.47,$-1.61,0.0
2011-12-31,18.41,$0.10,184.69
2011-09-30,13.93,$0.10,137.47
2011-06-30,15.49,$2.88,5.38
2011-03-31,13.89,$2.95,4.71
2010-12-31,11.42,$3.16,3.62
2010-09-30,9.18,$3.88,2.37
2010-06-30,8.73,$1.87,4.67
2010-03-31,9.14,$2.85,3.2
2009-12-31,8.83,$3.16,2.79
