Astrotech Price to Free Cash Flow Ratio Historical Data,Astrotech Price to Free Cash Flow Ratio Historical Data,Astrotech Price to Free Cash Flow Ratio Historical Data,Astrotech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.54,,0.0
2024-12-31,6.72,$-7.63,0.0
2024-09-30,7.99,$-6.78,0.0
2024-06-30,8.9,$-6.29,0.0
2024-03-31,8.95,$-5.75,0.0
2023-12-31,8.49,$-5.90,0.0
2023-09-30,10.1,$-6.00,0.0
2023-06-30,14.16,$-5.85,0.0
2023-03-31,10.66,$-5.90,0.0
2022-12-31,9.99,$-5.31,0.0
2022-09-30,13.29,$-4.93,0.0
2022-06-30,12.9,$-4.65,0.0
2022-03-31,21.63,$-5.82,0.0
2021-12-31,20.4,$-8.01,0.0
2021-09-30,31.5,$-6.02,0.0
2021-06-30,39.9,$-10.39,0.0
2021-03-31,65.7,$-16.49,0.0
2020-12-31,53.1,$-20.60,0.0
2020-09-30,51.0,$-28.79,0.0
2020-06-30,85.5,$-32.80,0.0
2020-03-31,78.0,$-39.91,0.0
2019-12-31,54.0,$-41.31,0.0
2019-09-30,53.1,$-44.77,0.0
2019-06-30,75.0,$-51.51,0.0
2019-03-31,109.2,$-51.84,0.0
2018-12-31,143.1,$-63.66,0.0
2018-09-30,83.1,$-70.73,0.0
2018-06-30,93.0,$-79.89,0.0
2018-03-31,79.5,$-80.85,0.0
2017-12-31,100.5,$-75.36,0.0
2017-09-30,148.28,$-71.40,0.0
2017-06-30,136.5,$-68.53,0.0
2017-03-31,196.5,$-70.28,0.0
2016-12-31,225.0,$-85.72,0.0
2016-09-30,247.5,$-90.85,0.0
2016-06-30,253.5,$-104.08,0.0
2016-03-31,313.5,$-116.40,0.0
2015-12-31,229.5,$-109.82,0.0
2015-09-30,310.5,$-111.26,0.0
2015-06-30,406.5,$-99.48,0.0
2015-03-31,459.75,$-61.75,0.0
2014-12-31,364.5,$-56.72,0.0
2014-09-30,423.0,$-21.38,0.0
2014-06-30,477.0,$-5.41,0.0
2014-03-31,352.5,$-34.45,0.0
2013-12-31,424.5,$9.21,46.07
2013-09-30,114.87,$-5.29,0.0
2013-06-30,105.03,$-36.89,0.0
2013-03-31,125.73,$-59.77,0.0
2012-12-31,135.0,$-72.48,0.0
2012-09-30,146.55,$-88.16,0.0
2012-06-30,162.0,$-43.41,0.0
2012-03-31,127.5,$65.68,1.94
2011-12-31,84.15,$56.70,1.48
2011-09-30,91.5,$62.95,1.45
2011-06-30,154.65,$71.26,2.17
2011-03-31,160.5,$13.77,11.66
2010-12-31,169.5,$6.27,27.05
2010-09-30,181.5,$59.37,3.06
2010-06-30,186.0,$21.42,8.68
2010-03-31,481.5,$51.03,9.44
2009-12-31,288.0,$50.91,5.66
