Arq Price to Free Cash Flow Ratio Historical Data,Arq Price to Free Cash Flow Ratio Historical Data,Arq Price to Free Cash Flow Ratio Historical Data,Arq Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.83,,0.0
2024-12-31,7.57,$-2.07,0.0
2024-09-30,5.87,$-1.30,0.0
2024-06-30,6.07,$-1.27,0.0
2024-03-31,6.48,$-0.87,0.0
2023-12-31,2.98,$-1.52,0.0
2023-09-30,1.78,$-1.70,0.0
2023-06-30,1.86,$-1.90,0.0
2023-03-31,1.98,$-1.68,0.0
2022-12-31,2.43,$-0.74,0.0
2022-09-30,2.73,$-0.22,0.0
2022-06-30,4.69,$0.34,13.87
2022-03-31,6.22,$-0.01,0.0
2021-12-31,6.62,$1.12,5.91
2021-09-30,6.39,$2.06,3.11
2021-06-30,7.41,$2.31,3.21
2021-03-31,5.5,$3.13,1.76
2020-12-31,5.5,$2.62,2.1
2020-09-30,4.06,$2.38,1.71
2020-06-30,4.85,$2.61,1.86
2020-03-31,6.57,$2.82,2.33
2019-12-31,10.29,$2.96,3.47
2019-09-30,14.19,$1.95,7.26
2019-06-30,11.83,$1.12,10.59
2019-03-31,10.62,$0.29,36.62
2018-12-31,9.49,$-0.52,0.0
2018-09-30,10.49,$-0.34,0.0
2018-06-30,9.74,$-0.45,0.0
2018-03-31,9.58,$-0.43,0.0
2017-12-31,7.88,$-0.57,0.0
2017-09-30,8.75,$-0.58,0.0
2017-06-30,7.12,$-0.72,0.0
2017-03-31,7.22,$-0.88,0.0
2016-12-31,6.99,$-0.83,0.0
2016-09-30,5.69,$-1.41,0.0
2016-06-30,7.11,$-1.10,0.0
2016-03-31,7.11,$-1.06,0.0
2015-12-31,7.11,$-1.35,0.0
2015-09-30,7.11,$-1.05,0.0
2015-06-30,7.11,$-1.64,0.0
2015-03-31,7.11,$-1.86,0.0
2014-12-31,17.24,$-1.89,0.0
2014-09-30,16.09,$-3.22,0.0
2014-06-30,17.35,$-2.01,0.0
2014-03-31,18.57,$-1.84,0.0
2013-12-31,20.52,$-0.61,0.0
2013-09-30,16.16,$0.86,18.88
2013-06-30,15.93,$0.50,31.92
2013-03-31,10.05,$0.55,18.42
2012-12-31,6.39,$-1.02,0.0
2012-09-30,8.93,$-1.16,0.0
2012-06-30,9.6,$-3.69,0.0
2012-03-31,9.2,$-3.44,0.0
2011-12-31,8.56,$-2.60,0.0
2011-09-30,5.78,$-1.71,0.0
2011-06-30,6.05,$0.24,25.74
2011-03-31,8.27,$0.74,11.14
2010-12-31,4.22,$0.59,7.1
2010-09-30,1.81,$0.11,16.08
2010-06-30,2.01,$0.38,5.3
2010-03-31,3.03,$1.67,1.82
2009-12-31,2.31,$-0.14,0.0
