Standex Price to Free Cash Flow Ratio Historical Data,Standex Price to Free Cash Flow Ratio Historical Data,Standex Price to Free Cash Flow Ratio Historical Data,Standex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,169.04,,37.34
2024-12-31,186.99,$4.53,41.3
2024-09-30,182.5,$6.00,30.43
2024-06-30,160.62,$6.08,26.42
2024-03-31,181.31,$7.10,25.52
2023-12-31,157.29,$6.97,22.57
2023-09-30,144.68,$7.34,19.7
2023-06-30,140.25,$5.69,24.67
2023-03-31,121.14,$4.52,26.82
2022-12-31,101.08,$3.74,27.02
2022-09-30,80.36,$3.26,24.65
2022-06-30,83.22,$4.59,18.13
2022-03-31,97.8,$5.02,19.47
2021-12-31,108.05,$5.32,20.3
2021-09-30,96.36,$5.18,18.61
2021-06-30,92.22,$5.05,18.25
2021-03-31,92.64,$4.21,22.01
2020-12-31,74.95,$3.11,24.1
2020-09-30,57.05,$2.49,22.92
2020-06-30,55.24,$2.09,26.42
2020-03-31,46.84,$3.61,12.97
2019-12-31,75.59,$4.15,18.23
2019-09-30,69.29,$4.13,16.79
2019-06-30,69.26,$3.48,19.89
2019-03-31,69.31,$3.33,20.82
2018-12-31,63.27,$2.84,22.27
2018-09-30,97.94,$4.03,24.28
2018-06-30,95.85,$3.46,27.73
2018-03-31,89.26,$2.83,31.49
2017-12-31,95.17,$3.33,28.62
2017-09-30,99.06,$2.43,40.79
2017-06-30,84.46,$3.06,27.59
2017-03-31,93.09,$3.35,27.75
2016-12-31,81.52,$3.81,21.38
2016-09-30,86.0,$4.31,19.95
2016-06-30,76.39,$4.92,15.54
2016-03-31,71.81,$5.66,12.68
2015-12-31,76.58,$5.15,14.86
2015-09-30,69.29,$4.81,14.41
2015-06-30,73.38,$3.24,22.62
2015-03-31,75.29,$2.80,26.89
2014-12-31,70.7,$3.31,21.33
2014-09-30,67.75,$2.85,23.78
2014-06-30,67.96,$4.04,16.83
2014-03-31,48.82,$4.72,10.35
2013-12-31,57.19,$3.06,18.68
2013-09-30,53.94,$3.13,17.25
2013-06-30,47.84,$3.61,13.26
2013-03-31,50.0,$2.40,20.79
2012-12-31,46.38,$4.00,11.59
2012-09-30,40.12,$3.93,10.22
2012-06-30,38.36,$3.06,12.54
2012-03-31,37.06,$3.43,10.81
2011-12-31,30.7,$2.63,11.69
2011-09-30,27.91,$2.82,9.89
2011-06-30,27.45,$3.95,6.94
2011-03-31,33.85,$0.81,41.9
2010-12-31,26.67,$0.99,27.0
2010-09-30,21.52,$1.37,15.67
2010-06-30,22.52,$1.38,16.36
2010-03-31,22.84,$3.15,7.25
2009-12-31,17.77,$4.61,3.86
