Horizon Bancorp (IN) Price to Free Cash Flow Ratio Historical Data,Horizon Bancorp (IN) Price to Free Cash Flow Ratio Historical Data,Horizon Bancorp (IN) Price to Free Cash Flow Ratio Historical Data,Horizon Bancorp (IN) Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.61,,536.43
2024-12-31,16.11,$0.03,553.61
2024-09-30,15.38,$1.48,10.42
2024-06-30,12.08,$1.43,8.45
2024-03-31,12.36,$1.41,8.78
2023-12-31,13.63,$1.85,7.36
2023-09-30,10.01,$1.76,5.68
2023-06-30,9.6,$1.71,5.63
2023-03-31,10.05,$1.96,5.13
2022-12-31,13.56,$2.01,6.74
2022-09-30,16.02,$2.17,7.39
2022-06-30,15.39,$2.18,7.06
2022-03-31,16.36,$2.28,7.19
2021-12-31,18.15,$2.39,7.6
2021-09-30,15.69,$2.33,6.73
2021-06-30,14.94,$2.19,6.82
2021-03-31,15.93,$1.80,8.84
2020-12-31,13.4,$1.65,8.1
2020-09-30,8.43,$1.66,5.06
2020-06-30,8.82,$1.82,4.86
2020-03-31,8.03,$1.53,5.26
2019-12-31,15.38,$3.89,3.95
2019-09-30,13.96,$3.76,3.71
2019-06-30,13.04,$3.59,3.63
2019-03-31,12.76,$3.99,3.2
2018-12-31,12.44,$1.79,6.95
2018-09-30,15.49,$1.91,8.11
2018-06-30,16.15,$1.71,9.43
2018-03-31,15.54,$1.55,10.03
2017-12-31,14.32,$1.33,10.74
2017-09-30,14.96,$1.52,9.84
2017-06-30,13.45,$1.15,11.7
2017-03-31,13.32,$1.00,13.32
2016-12-31,14.17,$0.80,17.67
2016-09-30,9.86,$1.09,9.07
2016-06-30,8.39,$1.06,7.89
2016-03-31,8.2,$1.14,7.18
2015-12-31,9.22,$1.22,7.57
2015-09-30,7.83,$0.27,28.92
2015-06-30,8.18,$0.98,8.32
2015-03-31,7.63,$0.93,8.18
2014-12-31,8.47,$0.54,15.79
2014-09-30,7.39,$0.88,8.38
2014-06-30,6.96,$1.19,5.84
2014-03-31,7.07,$1.30,5.45
2013-12-31,8.03,$2.01,4.0
2013-09-30,7.34,$2.21,3.32
2013-06-30,6.38,$1.38,4.61
2013-03-31,6.26,$1.43,4.36
2012-12-31,6.08,$1.04,5.85
2012-09-30,5.87,$1.30,4.51
2012-06-30,5.37,$1.17,4.6
2012-03-31,3.73,$1.31,2.85
2011-12-31,3.5,$1.17,2.99
2011-09-30,3.54,$0.64,5.55
2011-06-30,3.57,$1.37,2.61
2011-03-31,3.6,$1.51,2.38
2010-12-31,3.49,$1.33,2.62
2010-09-30,2.9,$1.10,2.63
2010-06-30,2.76,$0.89,3.11
2010-03-31,2.46,$0.56,4.35
2009-12-31,2.06,$0.64,3.21
