Arbutus Biopharma Price to Free Cash Flow Ratio Historical Data,Arbutus Biopharma Price to Free Cash Flow Ratio Historical Data,Arbutus Biopharma Price to Free Cash Flow Ratio Historical Data,Arbutus Biopharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.31,,0.0
2024-09-30,3.85,$-0.40,0.0
2024-06-30,3.09,$-0.42,0.0
2024-03-31,2.58,$-0.46,0.0
2023-12-31,2.5,$-0.52,0.0
2023-09-30,2.03,$-0.53,0.0
2023-06-30,2.3,$-0.53,0.0
2023-03-31,3.03,$-0.55,0.0
2022-12-31,2.33,$-0.24,0.0
2022-09-30,1.91,$-0.29,0.0
2022-06-30,2.71,$-0.31,0.0
2022-03-31,2.98,$-0.31,0.0
2021-12-31,3.89,$-0.64,0.0
2021-09-30,4.29,$-0.70,0.0
2021-06-30,3.03,$-0.67,0.0
2021-03-31,3.33,$-0.65,0.0
2020-12-31,3.55,$-0.68,0.0
2020-09-30,3.13,$-0.69,0.0
2020-06-30,1.82,$-1.00,0.0
2020-03-31,1.01,$-1.18,0.0
2019-12-31,2.78,$-1.25,0.0
2019-09-30,1.53,$-1.34,0.0
2019-06-30,2.08,$-1.18,0.0
2019-03-31,3.58,$-1.18,0.0
2018-12-31,3.83,$-1.25,0.0
2018-09-30,9.45,$-1.13,0.0
2018-06-30,7.3,$-1.17,0.0
2018-03-31,5.0,$-1.00,0.0
2017-12-31,5.05,$-1.02,0.0
2017-09-30,6.2,$-1.16,0.0
2017-06-30,3.6,$-1.14,0.0
2017-03-31,3.25,$-1.32,0.0
2016-12-31,2.45,$-1.17,0.0
2016-09-30,3.44,$-1.31,0.0
2016-06-30,3.48,$-1.82,0.0
