IPG Photonics Price to Free Cash Flow Ratio Historical Data,IPG Photonics Price to Free Cash Flow Ratio Historical Data,IPG Photonics Price to Free Cash Flow Ratio Historical Data,IPG Photonics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,65.35,,16.28
2024-12-31,72.72,$4.01,18.12
2024-09-30,74.32,$4.63,16.04
2024-06-30,84.39,$5.47,15.44
2024-03-31,90.69,$5.59,16.23
2023-12-31,108.54,$4.58,23.7
2023-09-30,101.54,$3.70,27.42
2023-06-30,135.82,$2.83,48.03
2023-03-31,123.31,$2.81,43.85
2022-12-31,94.67,$2.54,37.27
2022-09-30,84.35,$2.72,31.06
2022-06-30,94.13,$2.90,32.44
2022-03-31,109.76,$3.70,29.66
2021-12-31,172.14,$4.97,34.64
2021-09-30,158.4,$3.94,40.25
2021-06-30,210.77,$3.60,58.57
2021-03-31,210.94,$2.96,71.16
2020-12-31,223.79,$2.58,86.7
2020-09-30,169.97,$4.52,37.63
2020-06-30,160.39,$5.00,32.11
2020-03-31,110.28,$4.07,27.11
2019-12-31,144.92,$3.54,40.93
2019-09-30,135.6,$3.19,42.55
2019-06-30,154.25,$2.52,61.31
2019-03-31,151.78,$3.38,44.96
2018-12-31,113.29,$4.28,26.5
2018-09-30,156.07,$4.19,37.23
2018-06-30,220.63,$5.51,40.01
2018-03-31,233.38,$5.96,39.19
2017-12-31,214.13,$5.39,39.74
2017-09-30,185.06,$5.29,34.96
2017-06-30,145.1,$4.41,32.92
2017-03-31,120.7,$2.97,40.62
2016-12-31,98.71,$3.18,31.0
2016-09-30,82.35,$2.71,30.39
2016-06-30,80.0,$3.03,26.39
2016-03-31,96.08,$3.65,26.29
2015-12-31,89.16,$3.62,24.61
2015-09-30,75.97,$3.46,21.97
2015-06-30,85.18,$2.44,34.96
2015-03-31,92.7,$1.85,50.16
2014-12-31,74.92,$1.74,43.05
2014-09-30,68.78,$1.67,41.3
2014-06-30,68.8,$1.71,40.21
2014-03-31,71.08,$2.09,33.99
2013-12-31,77.61,$0.93,83.5
2013-09-30,56.35,$1.08,52.2
2013-06-30,60.73,$1.07,56.52
2013-03-31,66.41,$1.26,52.82
2012-12-31,66.65,$2.08,32.07
2012-09-30,56.74,$1.51,37.5
2012-06-30,43.16,$1.43,30.08
2012-03-31,51.54,$0.96,53.65
2011-12-31,33.54,$0.71,47.54
2011-09-30,43.01,$0.85,50.39
2011-06-30,72.0,$0.51,140.67
2011-03-31,57.11,$0.69,83.22
2010-12-31,31.31,$0.74,42.51
2010-09-30,23.9,$0.66,36.27
2010-06-30,15.08,$0.90,16.76
2010-03-31,14.64,$0.73,20.16
2009-12-31,16.57,$0.94,17.58
