MainStreet Bank Price to Free Cash Flow Ratio Historical Data,MainStreet Bank Price to Free Cash Flow Ratio Historical Data,MainStreet Bank Price to Free Cash Flow Ratio Historical Data,MainStreet Bank Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.25,,14.35
2024-12-31,18.1,$1.20,15.05
2024-09-30,18.35,$1.11,16.57
2024-06-30,17.52,$1.88,9.32
2024-03-31,17.84,$2.72,6.55
2023-12-31,24.24,$3.42,7.08
2023-09-30,19.97,$3.97,5.04
2023-06-30,21.94,$3.74,5.87
2023-03-31,22.63,$3.66,6.18
2022-12-31,26.4,$3.42,7.71
2022-09-30,21.82,$2.64,8.25
2022-06-30,21.74,$2.41,9.01
2022-03-31,23.16,$2.34,9.89
2021-12-31,23.38,$3.29,7.1
2021-09-30,22.81,$3.64,6.26
2021-06-30,21.47,$3.81,5.63
2021-03-31,19.74,$3.05,6.48
2020-12-31,16.08,$1.94,8.28
2020-09-30,11.64,$1.83,6.36
2020-06-30,12.55,$1.61,7.78
2020-03-31,15.94,$2.49,6.4
