Brookfield Asset Management Price to Free Cash Flow Ratio Historical Data,Brookfield Asset Management Price to Free Cash Flow Ratio Historical Data,Brookfield Asset Management Price to Free Cash Flow Ratio Historical Data,Brookfield Asset Management Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,49.35,,37.45
2024-09-30,47.23,$1.32,35.84
2024-06-30,38.0,$1.25,30.5
2024-03-31,41.96,$1.22,34.54
2023-12-31,40.12,$1.18,34.06
2023-09-30,33.23,$0.88,37.8
